PLAYER_ID,PLAYER_NAME,SHOT_ID,GRID_TYPE,GAME_ID,EVENTNUM,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,time,extra,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
203469,Cody Zeller,22100049667,Shot Chart Detail,22100049,667,1610612757,Portland Trail Blazers,4,1,59,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20211025,LAC,POR,|1628372|1629604|1630535|203463|203469,1,REG,,,2022,1630527,-31.0,SG,Low Activity,-0.36,Zeller 1' Running Layup (6 PTS) (Brown III 1 AST),C,Roll + Cut Big,-0.53,1630535.0
1630195,Leandro Bolmaro,22100129686,Shot Chart Detail,22100129,686,1610612750,Minnesota Timberwolves,4,1,38,Missed Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,140,215,1,0,20211105,MIN,LAC,|1627774|1629669|1629675|1630195|1630233,0,REG,,,2022,1630527,-16.0,SG,Low Activity,-0.36,MISS Bolmaro 26' 3PT Pullup Jump Shot,SF,Athletic Finisher,-1.92,
1626181,Norman Powell,22100157590,Shot Chart Detail,22100157,590,1610612757,Portland Trail Blazers,4,0,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,6,1,1,20211109,LAC,POR,|1626181|203081|203468|203496|203994,0,REG,,,2022,1630527|1628392,-8.0,,,,,SF-SG,Movement Shooter,0.54,
1629022,Lonnie Walker IV,22100212129,Shot Chart Detail,22100212,129,1610612759,San Antonio Spurs,1,0,58,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-120,235,1,0,20211116,LAC,SAS,|1627854|1628401|1629022|1630170|201152,0,REG,,,2022,1630527,-5.0,SG,Low Activity,-0.36,MISS Walker IV 26' 3PT Jump Shot,SG,Secondary Ball Handler,-0.88,
1629022,Lonnie Walker IV,22100212140,Shot Chart Detail,22100212,140,1610612759,San Antonio Spurs,1,0,2,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,1,20211116,LAC,SAS,|1627854|1628401|1629022|1630170|201152,0,REG,,,2022,1629599|1630527,-5.0,,,,,SG,Secondary Ball Handler,-0.88,
1628401,Derrick White,22100212174,Shot Chart Detail,22100212,174,1610612759,San Antonio Spurs,2,9,54,Made Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-1,38,1,1,20211116,LAC,SAS,|1627854|1628401|1629234|1629640|203926,1,REG,,,2022,1630527,-2.0,SG,Low Activity,-0.36,White 4' Driving Finger Roll Layup (9 PTS) (Johnson 2 AST),SG,Primary Ball Handler,0.57,1629640.0
1627749,Dejounte Murray,22100212283,Shot Chart Detail,22100212,283,1610612759,San Antonio Spurs,2,2,36,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-49,117,1,1,20211116,LAC,SAS,|1627749|1629022|1629640|1630170|201152,0,REG,,,2022,1627826|1630527,-8.0,,,,,PG,Slasher,2.3,
1629022,Lonnie Walker IV,22100212300,Shot Chart Detail,22100212,300,1610612759,San Antonio Spurs,2,1,6,Made Shot,Running Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20211116,LAC,SAS,|1627749|1629022|1629640|1630170|201152,1,REG,,,2022,1630527,-4.0,SG,Low Activity,-0.36,Walker IV 2' Running Dunk (4 PTS) (Young 3 AST),SG,Secondary Ball Handler,-0.88,201152.0
1627749,Dejounte Murray,22100212304,Shot Chart Detail,22100212,304,1610612759,San Antonio Spurs,2,0,56,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,1,20211116,LAC,SAS,|1627749|1629022|1629640|1630170|201152,1,REG,,,2022,1630527,-2.0,SG,Low Activity,-0.36,Murray 2' Running Layup (20 PTS) (Johnson 3 AST),PG,Slasher,2.3,1629640.0
1629022,Lonnie Walker IV,22100212478,Shot Chart Detail,22100212,478,1610612759,San Antonio Spurs,4,10,53,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-11,36,1,0,20211116,LAC,SAS,|1628401|1629022|1629640|1630200|201152,0,REG,,,2022,1630527,-15.0,SG,Low Activity,-0.36,MISS Walker IV 4' Driving Layup,SG,Secondary Ball Handler,-0.88,
