GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON
Shot Chart Detail,42400111,9,1631094,Paolo Banchero,1610612753,Orlando Magic,1,11,27,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-132,14,1,0,20250420,BOS,ORL,424001119,330,0,202709|203484|1628976|1630532|1631094,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400111,42,1631094,Paolo Banchero,1610612753,Orlando Magic,1,7,55,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,37,41,1,0,20250420,BOS,ORL,4240011142,2450,0,202709|203484|1628976|1630532|1631094,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400111,109,1641710,Anthony Black,1610612753,Orlando Magic,1,2,29,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,40,37,1,0,20250420,BOS,ORL,42400111109,5710,0,203914|1628371|1631094|1631216|1641710,0,PS,2025,201950|1630573,,,
Shot Chart Detail,42400111,269,203484,Kentavious Caldwell-Pope,1610612753,Orlando Magic,2,1,57,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,36,1,1,20250420,BOS,ORL,42400111269,13230,0,202709|203484|1628371|1631094|1631216,1,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400111,286,1630532,Franz Wagner,1610612753,Orlando Magic,2,0,50,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-87,142,1,1,20250420,BOS,ORL,42400111286,13900,0,202709|203484|1628371|1630532|1631094,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400111,324,1630532,Franz Wagner,1610612753,Orlando Magic,3,10,1,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,80,60,1,0,20250420,BOS,ORL,42400111324,15590,0,202709|203484|1628976|1630532|1631094,0,PS,2025,1627759|201950|204001,,,
Shot Chart Detail,42400111,327,1631094,Paolo Banchero,1610612753,Orlando Magic,3,9,35,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,49,18,1,0,20250420,BOS,ORL,42400111327,15850,0,202709|203484|1628976|1630532|1631094,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400111,339,1630532,Franz Wagner,1610612753,Orlando Magic,3,8,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-39,180,1,0,20250420,BOS,ORL,42400111339,16440,0,202709|203484|1628976|1630532|1631094,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400111,366,1631094,Paolo Banchero,1610612753,Orlando Magic,3,7,13,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-134,73,1,0,20250420,BOS,ORL,42400111366,17270,0,203484|1628371|1630532|1631094|1641710,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400111,432,1630175,Cole Anthony,1610612753,Orlando Magic,3,2,30,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-44,27,1,0,20250420,BOS,ORL,42400111432,20100,0,203914|1628976|1630175|1630532|1631094,0,PS,2025,201950|1630202,,,
Shot Chart Detail,42400112,27,202709,Cory Joseph,1610612753,Orlando Magic,1,9,40,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,21,29,1,1,20250423,BOS,ORL,4240011227,1400,0,202709|203484|1628976|1630532|1631094,1,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400112,37,1631094,Paolo Banchero,1610612753,Orlando Magic,1,8,37,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,19,1,0,20250423,BOS,ORL,4240011237,2030,0,202709|203484|1628976|1630532|1631094,0,PS,2025,201143|201950,,,
Shot Chart Detail,42400112,50,1630532,Franz Wagner,1610612753,Orlando Magic,1,7,31,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,14,1,1,20250423,BOS,ORL,4240011250,2690,0,202709|203484|1628976|1630532|1631094,1,PS,2025,201950|204001,,,
Shot Chart Detail,42400112,54,202709,Cory Joseph,1610612753,Orlando Magic,1,7,7,Missed Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,31,1,0,20250423,BOS,ORL,4240011254,2930,0,202709|203484|1628976|1630532|1631094,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400112,58,1631094,Paolo Banchero,1610612753,Orlando Magic,1,6,33,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-82,248,1,0,20250423,BOS,ORL,4240011258,3270,0,202709|203484|1628976|1630532|1631094,0,PS,2025,201950|204001,,,
Shot Chart Detail,42400112,192,1631094,Paolo Banchero,1610612753,Orlando Magic,2,9,39,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20250423,BOS,ORL,42400112192,8610,0,203914|1628371|1630532|1631094|1641710,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400112,229,1630532,Franz Wagner,1610612753,Orlando Magic,2,6,54,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,4,1,1,20250423,BOS,ORL,42400112229,10260,0,202709|203484|1628976|1630532|1631094,0,PS,2025,1628401|201950,,,
Shot Chart Detail,42400112,267,203484,Kentavious Caldwell-Pope,1610612753,Orlando Magic,2,3,35,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,16,1,0,20250423,BOS,ORL,42400112267,12250,0,202709|203484|1628976|1630532|1631094,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400112,407,202709,Cory Joseph,1610612753,Orlando Magic,3,4,48,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,88,193,1,0,20250423,BOS,ORL,42400112407,18720,0,202709|203484|1628976|1631094|1631216,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400112,496,1631094,Paolo Banchero,1610612753,Orlando Magic,4,10,49,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-80,257,1,0,20250423,BOS,ORL,42400112496,22310,0,203914|1629048|1630532|1631094|1641710,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400112,510,1629048,Goga Bitadze,1610612753,Orlando Magic,4,9,45,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,11,1,1,20250423,BOS,ORL,42400112510,22950,0,203914|1629048|1630532|1631094|1641710,1,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400112,528,1641710,Anthony Black,1610612753,Orlando Magic,4,7,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-188,223,1,0,20250423,BOS,ORL,42400112528,24020,0,203914|1628976|1630532|1631094|1641710,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400112,610,1631094,Paolo Banchero,1610612753,Orlando Magic,4,1,19,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,127,31,1,0,20250423,BOS,ORL,42400112610,28010,0,203484|1628976|1630532|1631094|1631216,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400112,638,1631094,Paolo Banchero,1610612753,Orlando Magic,4,0,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,14,1,1,20250423,BOS,ORL,42400112638,28710,0,203484|1628976|1630532|1631094|1631216,1,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,34,1628973,Jalen Brunson,1610612752,New York Knicks,1,9,25,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,34,100,1,1,20250505,BOS,NYK,4240021134,1550,0,1626157|1628384|1628404|1628969|1628973,1,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,48,1628973,Jalen Brunson,1610612752,New York Knicks,1,8,44,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,29,1,0,20250505,BOS,NYK,4240021148,1960,0,1626157|1628384|1628404|1628969|1628973,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,195,1626157,Karl-Anthony Towns,1610612752,New York Knicks,2,11,4,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-79,18,1,1,20250505,BOS,NYK,42400211195,7760,0,1626157|1628404|1628969|1629011|1630540,1,PS,2025,1627759|201950,,,
Shot Chart Detail,42400211,209,1628404,Josh Hart,1610612752,New York Knicks,2,10,6,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,16,1,1,20250505,BOS,NYK,42400211209,8340,0,1626157|1628404|1628969|1628973|1630540,1,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,280,1628384,OG Anunoby,1610612752,New York Knicks,2,5,19,Missed Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,21,1,0,20250505,BOS,NYK,42400211280,11210,0,1628384|1628404|1628969|1628973|1629011,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,297,1628973,Jalen Brunson,1610612752,New York Knicks,2,4,38,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,207,131,1,0,20250505,BOS,NYK,42400211297,11620,0,1628384|1628404|1628969|1628973|1630173,0,PS,2025,1628369|201950,,,
Shot Chart Detail,42400211,299,1628384,OG Anunoby,1610612752,New York Knicks,2,4,33,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,21,1,0,20250505,BOS,NYK,42400211299,11670,0,1628384|1628404|1628969|1628973|1630173,0,PS,2025,201143|201950,,,
Shot Chart Detail,42400211,388,1628969,Mikal Bridges,1610612752,New York Knicks,3,9,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,58,275,1,0,20250505,BOS,NYK,42400211388,15880,0,1626157|1628384|1628404|1628969|1628973,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,523,1630540,Miles McBride,1610612752,New York Knicks,4,9,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,158,231,1,0,20250505,BOS,NYK,42400211523,23110,0,1626157|1628404|1628969|1629011|1630540,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,572,1628973,Jalen Brunson,1610612752,New York Knicks,4,5,55,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,13,1,1,20250505,BOS,NYK,42400211572,25250,0,1626157|1628384|1628404|1628969|1628973,1,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,636,1628973,Jalen Brunson,1610612752,New York Knicks,4,0,2,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-44,54,1,0,20250505,BOS,NYK,42400211636,28780,0,1626157|1628384|1628404|1628969|1628973,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,657,1628973,Jalen Brunson,1610612752,New York Knicks,5,4,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,123,225,1,0,20250505,BOS,NYK,42400211657,29090,1,1626157|1628384|1628404|1628969|1628973,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,685,1628973,Jalen Brunson,1610612752,New York Knicks,5,1,48,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,33,1,0,20250505,BOS,NYK,42400211685,30720,1,1626157|1628384|1628404|1628969|1628973,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400211,692,1628973,Jalen Brunson,1610612752,New York Knicks,5,0,54,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,120,149,1,0,20250505,BOS,NYK,42400211692,31260,1,1626157|1628384|1628404|1628969|1628973,0,PS,2025,201950,PG,,-0.48
Shot Chart Detail,42400212,22,1628973,Jalen Brunson,1610612752,New York Knicks,1,9,55,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,59,189,1,0,20250507,BOS,NYK,4240021222,1250,0,1626157|1628384|1628404|1628969|1628973,0,PS,2025,1628401|201950,,,
