GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON
Shot Chart Detail,42300404,543,1630573,Sam Hauser,1610612738,Boston Celtics,4,10,29,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,121,221,1,0,20240614,DAL,BOS,42300404543,22510,0,1628436|1629004|1629052|1630202|1630573,0,PS,2024,202693|203939,,,
Shot Chart Detail,42300404,553,1630202,Payton Pritchard,1610612738,Boston Celtics,4,8,48,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,98,5,1,0,20240614,DAL,BOS,42300404553,23520,0,1628436|1629004|1629052|1630202|1630573,0,PS,2024,202693,PF,,0.59
Shot Chart Detail,42300404,580,1628436,Luke Kornet,1610612738,Boston Celtics,4,6,9,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,113,69,1,0,20240614,DAL,BOS,42300404580,25110,0,1628436|1629004|1629052|1630202|1630531,0,PS,2024,202693,PF,,0.59
Shot Chart Detail,42300404,625,1641775,Jordan Walsh,1610612738,Boston Celtics,4,2,49,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,77,55,1,0,20240614,DAL,BOS,42300404625,27110,0,1629052|1629674|1630202|1630531|1641775,0,PS,2024,202693,PF,,0.59
Shot Chart Detail,42300404,649,1630202,Payton Pritchard,1610612738,Boston Celtics,4,0,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,6,1,1,20240614,DAL,BOS,42300404649,28360,0,1629052|1629674|1630202|1630531|1641775,0,PS,2024,202693|1630639,,,
