GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,PLAYERS_ON,assisted,season_type,time,extra,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,opp_team,OPP_ID,ASSIST_ID
Shot Chart Detail,22100009,8,0,Opponent,1610612755,Philadelphia 76ers,1,11,24,Made Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,19,45,185,1,1,20211020,NOP,PHI,221000098,|1630178|201980|202699|203552|203954,1,REG,,,2022,1630178,0.0,PG,Point of Attack,-0.95,Alexander-Walker 19' Pullup Jump Shot (2 PTS) (Ingram 1 AST),,,,NOP,1610612740.0,1627742.0
Shot Chart Detail,22100009,15,0,Opponent,1610612755,Philadelphia 76ers,1,10,25,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,0,20211020,NOP,PHI,2210000915,|1630178|201980|202699|203552|203954,0,REG,,,2022,202699,-2.0,PF,Wing Stopper,0.14,MISS Valanciunas 1' Driving Layup,,,,NOP,1610612740.0,
Shot Chart Detail,22100009,17,0,Opponent,1610612755,Philadelphia 76ers,1,10,18,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211020,NOP,PHI,2210000917,|1630178|201980|202699|203552|203954,0,REG,,,2022,201980|202699,-2.0,,,,,,,,NOP,1610612740.0,
Shot Chart Detail,22100009,22,0,Opponent,1610612755,Philadelphia 76ers,1,9,50,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,12,100,83,1,0,20211020,NOP,PHI,2210000922,|1630178|201980|202699|203552|203954,0,REG,,,2022,201980,-2.0,SF,Wing Stopper,1.16,MISS Ingram 13' Fadeaway Jumper,,,,NOP,1610612740.0,
Shot Chart Detail,22100009,26,0,Opponent,1610612755,Philadelphia 76ers,1,9,30,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-1,1,1,20211020,NOP,PHI,2210000926,|1630178|201980|202699|203552|203954,0,REG,,,2022,1630178,-3.0,PG,Point of Attack,-0.95,Alexander-Walker 2' Driving Layup (4 PTS),,,,NOP,1610612740.0,
Shot Chart Detail,22100009,28,0,Opponent,1610612755,Philadelphia 76ers,1,9,9,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side(R),8-16 ft.,15,127,94,1,0,20211020,NOP,PHI,2210000928,|1630178|201980|202699|203552|203954,0,REG,,,2022,201980,-5.0,SF,Wing Stopper,1.16,MISS Ingram 16' Pullup Jump Shot,,,,NOP,1610612740.0,
Shot Chart Detail,22100009,32,0,Opponent,1610612755,Philadelphia 76ers,1,8,44,Made Shot,Cutting Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,5,1,1,1,20211020,NOP,PHI,2210000932,|1630178|201980|202699|203552|203954,1,REG,,,2022,201980|1630178,-3.0,,,,,,,,NOP,1610612740.0,1627742.0
Shot Chart Detail,22100009,36,0,Opponent,1610612755,Philadelphia 76ers,1,8,16,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-18,12,1,0,20211020,NOP,PHI,2210000936,|1630178|201980|202699|203552|203954,0,REG,,,2022,203954|1630178,-3.0,,,,,,,,NOP,1610612740.0,
Shot Chart Detail,22100009,39,0,Opponent,1610612755,Philadelphia 76ers,1,8,14,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-162,194,1,0,20211020,NOP,PHI,2210000939,|1630178|201980|202699|203552|203954,0,REG,,,2022,201980,-3.0,SF,Wing Stopper,1.16,MISS Ingram 25' 3PT Jump Shot,,,,NOP,1610612740.0,
Shot Chart Detail,22100009,42,0,Opponent,1610612755,Philadelphia 76ers,1,7,50,Made Shot,Fadeaway Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,14,-102,105,1,1,20211020,NOP,PHI,2210000942,|1630178|201980|202699|203552|203954,0,REG,,,2022,203954,-4.0,C,Anchor Big,1.06,Alexander-Walker 15' Fadeaway Jumper (6 PTS),,,,NOP,1610612740.0,
