GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,PLAYERS_ON,assisted,season_type,time,extra,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,opp_team,OPP_ID
Shot Chart Detail,22100014,9,0,Opponent,1610612742,Dallas Mavericks,1,11,17,Made Shot,Pullup Jump shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,4,120,1,1,20211021,ATL,DAL,221000149,|1627827|1629029|203501|203939|204001,1,REG,,,2022,204001,-1.0,PF,Anchor Big,1.74,Collins 12' Pullup Jump Shot (2 PTS) (Bogdanovic 1 AST),,,,ATL,1610612737.0
Shot Chart Detail,22100014,15,0,Opponent,1610612742,Dallas Mavericks,1,10,48,Missed Shot,Running Pull-Up Jump Shot,,Mid-Range,Center(C),16-24 ft.,21,50,212,1,0,20211021,ATL,DAL,2210001415,|1627827|1629029|203501|203939|204001,0,REG,,,2022,1629029,-1.0,PG,Low Activity,-0.2,MISS Hunter 22' Running Pull-Up Jump Shot,,,,ATL,1610612737.0
Shot Chart Detail,22100014,28,0,Opponent,1610612742,Dallas Mavericks,1,9,26,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,37,15,1,0,20211021,ATL,DAL,2210001428,|1627827|1629029|203501|203939|204001,0,REG,,,2022,203501,-6.0,SG,Chaser,-0.13,MISS Young 4' Driving Layup,,,,ATL,1610612737.0
Shot Chart Detail,22100014,37,0,Opponent,1610612742,Dallas Mavericks,1,8,46,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,16,-145,84,1,1,20211021,ATL,DAL,2210001437,|1627827|1629029|203501|203939|204001,0,REG,,,2022,204001,-6.0,PF,Anchor Big,1.74,Collins 17' Jump Shot (4 PTS),,,,ATL,1610612737.0
Shot Chart Detail,22100014,42,0,Opponent,1610612742,Dallas Mavericks,1,8,14,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,228,64,1,1,20211021,ATL,DAL,2210001442,|1627827|1629029|203501|203939|204001,1,REG,,,2022,,,,,,,,,,ATL,1610612737.0
Shot Chart Detail,22100014,47,0,Opponent,1610612742,Dallas Mavericks,1,7,47,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,91,232,1,1,20211021,ATL,DAL,2210001447,|1627827|1629029|203501|203939|204001,1,REG,,,2022,204001,0.0,PF,Anchor Big,1.74,Bogdanovic 25' 3PT Jump Shot (6 PTS) (Collins 2 AST),,,,ATL,1610612737.0
Shot Chart Detail,22100014,51,0,Opponent,1610612742,Dallas Mavericks,1,7,19,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,8,0,80,1,0,20211021,ATL,DAL,2210001451,|1627827|1629029|203501|203939|204001,0,REG,,,2022,203939,0.0,C,Anchor Big,1.41,MISS Young 8' Driving Floating Jump Shot,,,,ATL,1610612737.0
Shot Chart Detail,22100014,53,0,Opponent,1610612742,Dallas Mavericks,1,7,17,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211021,ATL,DAL,2210001453,|1627827|1629029|203501|203939|204001,0,REG,,,2022,1627827|204001,2.0,,,,,,,,ATL,1610612737.0
Shot Chart Detail,22100014,59,0,Opponent,1610612742,Dallas Mavericks,1,6,40,Missed Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,25,45,246,1,0,20211021,ATL,DAL,2210001459,|1627827|1629029|203501|203939|204001,0,REG,,,2022,1627827,2.0,PF,Point of Attack,0.48,MISS Young 25' 3PT Pullup Jump Shot,,,,ATL,1610612737.0
Shot Chart Detail,22100014,64,0,Opponent,1610612742,Dallas Mavericks,1,6,24,Made Shot,Pullup Jump shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,-37,121,1,1,20211021,ATL,DAL,2210001464,|1627827|1629029|203501|203939|204001,1,REG,,,2022,1627827,4.0,PF,Point of Attack,0.48,Hunter 13' Pullup Jump Shot (2 PTS) (Young 1 AST),,,,ATL,1610612737.0
