GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,PLAYERS_ON,assisted,season_type,time,extra,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,42100111,16,1627759,Jaylen Brown,1610612751,Boston Celtics,1,11,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,1,20220417,BOS,BKN,4210011116,201142|202681|203083|203552|1628971,1,PS,600.0,0.0,2022,1628971,SF,Point of Attack,0.3,SF,Shot Creator,1.22
Shot Chart Detail,42100111,20,201143,Al Horford,1610612751,Boston Celtics,1,10,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,87,251,1,1,20220417,BOS,BKN,4210011120,201142|202681|203083|203552|1628971,0,PS,930.0,0.0,2022,203083,C,Anchor Big,1.99,C,Versatile Big,0.42
Shot Chart Detail,42100111,25,1627759,Jaylen Brown,1610612751,Boston Celtics,1,10,2,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-184,55,1,0,20220417,BOS,BKN,4210011125,201142|202681|203083|203552|1628971,0,PS,1180.0,0.0,2022,1628971,SF,Point of Attack,0.3,SF,Shot Creator,1.22
Shot Chart Detail,42100111,28,1627759,Jaylen Brown,1610612751,Boston Celtics,1,9,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,195,57,1,0,20220417,BOS,BKN,4210011128,201142|202681|203083|203552|1628971,0,PS,1430.0,0.0,2022,,,,,SF,Shot Creator,1.22
Shot Chart Detail,42100111,37,1627759,Jaylen Brown,1610612751,Boston Celtics,1,9,3,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-80,168,1,0,20220417,BOS,BKN,4210011137,201142|202681|203083|203552|1628971,0,PS,1770.0,0.0,2022,203083,C,Anchor Big,1.99,SF,Shot Creator,1.22
Shot Chart Detail,42100111,43,1628369,Jayson Tatum,1610612751,Boston Celtics,1,8,54,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,18,1,0,20220417,BOS,BKN,4210011143,201142|202681|203083|203552|1628971,0,PS,1860.0,0.0,2022,201142|203552,,,,SF,Shot Creator,3.33
Shot Chart Detail,42100111,48,1628464,Daniel Theis,1610612751,Boston Celtics,1,8,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-36,270,1,0,20220417,BOS,BKN,4210011148,201142|202681|203083|203552|1628971,0,PS,2070.0,0.0,2022,202681,PG,Chaser,-1.11,C,Stretch Big,-1.66
Shot Chart Detail,42100111,52,203935,Marcus Smart,1610612751,Boston Celtics,1,8,11,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,175,183,1,1,20220417,BOS,BKN,4210011152,201142|202681|203083|203552|1628971,1,PS,2290.0,0.0,2022,202681,PG,Chaser,-1.11,PG,Primary Ball Handler,0.63
Shot Chart Detail,42100111,60,1629684,Grant Williams,1610612751,Boston Celtics,1,7,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-44,270,1,0,20220417,BOS,BKN,4210011160,201142|202681|203083|203552|1628971,0,PS,2600.0,0.0,2022,,,,,PF,Athletic Finisher,-1.75
Shot Chart Detail,42100111,62,1628464,Daniel Theis,1610612751,Boston Celtics,1,9,2,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,10,1,0,20220417,BOS,BKN,4210011162,201142|202681|203083|203552|1628971,0,PS,1780.0,0.0,2022,203552,SG,Low Activity,-0.76,C,Stretch Big,-1.66
