GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,PLAYERS_ON,assisted,season_type,time,extra,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,42100141,9,1627742,Brandon Ingram,1610612756,New Orleans Pelicans,1,11,21,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,4,1,0,20220417,PHX,NOP,421001419,101108|203109|1626164|1628969|1629028,0,PS,390.0,0.0,2022,101108,PG,Low Activity,1.18,SF,Shot Creator,0.72
Shot Chart Detail,42100141,13,1627742,Brandon Ingram,1610612756,New Orleans Pelicans,1,10,46,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,26,91,1,0,20220417,PHX,NOP,4210014113,101108|203109|1626164|1628969|1629028,0,PS,740.0,0.0,2022,203109,PF,Wing Stopper,1.91,SF,Shot Creator,0.72
Shot Chart Detail,42100141,27,203468,CJ McCollum,1610612756,New Orleans Pelicans,1,10,9,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-18,101,1,0,20220417,PHX,NOP,4210014127,101108|203109|1626164|1628969|1629028,0,PS,1110.0,0.0,2022,1629028,C,Anchor Big,0.78,SG-PG,Shot Creator,1.93
Shot Chart Detail,42100141,29,1630529,Herbert Jones,1610612756,New Orleans Pelicans,1,10,5,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,20,1,0,20220417,PHX,NOP,4210014129,101108|203109|1626164|1628969|1629028,0,PS,1150.0,0.0,2022,101108,PG,Low Activity,1.18,PF,Athletic Finisher,-0.82
Shot Chart Detail,42100141,31,203468,CJ McCollum,1610612756,New Orleans Pelicans,1,9,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,10,1,0,20220417,PHX,NOP,4210014131,101108|203109|1626164|1628969|1629028,0,PS,1260.0,0.0,2022,1629028,C,Anchor Big,0.78,SG-PG,Shot Creator,1.93
Shot Chart Detail,42100141,34,202685,Jonas Valančiūnas,1610612756,New Orleans Pelicans,1,9,47,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,1,1,1,20220417,PHX,NOP,4210014134,101108|203109|1626164|1628969|1629028,0,PS,1330.0,0.0,2022,203109|1626164,,,,C,Post Scorer,0.36
Shot Chart Detail,42100141,37,202685,Jonas Valančiūnas,1610612756,New Orleans Pelicans,1,11,20,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-105,32,1,1,20220417,PHX,NOP,4210014137,101108|203109|1626164|1628969|1629028,0,PS,400.0,0.0,2022,1629028,C,Anchor Big,0.78,C,Post Scorer,0.36
Shot Chart Detail,42100141,41,1627742,Brandon Ingram,1610612756,New Orleans Pelicans,1,9,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,131,122,1,0,20220417,PHX,NOP,4210014141,101108|203109|1626164|1628969|1629028,0,PS,1570.0,0.0,2022,1629028,C,Anchor Big,0.78,SF,Shot Creator,0.72
Shot Chart Detail,42100141,47,202685,Jonas Valančiūnas,1610612756,New Orleans Pelicans,1,8,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,32,1,0,20220417,PHX,NOP,4210014147,101108|203109|1626164|1628969|1629028,0,PS,1900.0,0.0,2022,1628969,SF,Point of Attack,1.18,C,Post Scorer,0.36
Shot Chart Detail,42100141,60,1630529,Herbert Jones,1610612756,New Orleans Pelicans,1,7,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,208,40,1,0,20220417,PHX,NOP,4210014160,101108|203109|1626164|1628969|1629028,0,PS,2500.0,0.0,2022,1629028,C,Anchor Big,0.78,PF,Athletic Finisher,-0.82
