GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,22200012,140,1628971,Bruce Brown,1610612743,Denver Nuggets,1,2,9,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,33,134,1,0,20221019,UTA,DEN,22200012140,5910,0,201145|201599|1628432|1628971|1630538,0,REG,2023,1627736,-5.0,SG,Chaser,-1.56,MISS Brown 14' Driving Floating Jump Shot,SF,Primary Ball Handler,-0.43
Shot Chart Detail,22200012,152,1628971,Bruce Brown,1610612743,Denver Nuggets,1,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,127,210,1,0,20221019,UTA,DEN,22200012152,6610,0,201145|201599|1628432|1628971|1630538,0,REG,2023,1627736,-8.0,SG,Chaser,-1.56,MISS Brown 25' 3PT Jump Shot,SF,Primary Ball Handler,-0.43
Shot Chart Detail,22200012,553,201145,Jeff Green,1610612743,Denver Nuggets,4,9,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,1,20221019,UTA,DEN,22200012553,22890,0,201145|203484|1628971|1629008|1630538,1,REG,2023,203482|1627736,-9.0,,,,,PF,Versatile Big,-1.17
Shot Chart Detail,22200012,584,1628971,Bruce Brown,1610612743,Denver Nuggets,4,7,57,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,22,1,1,20221019,UTA,DEN,22200012584,24030,0,203932|203999|1627750|1628971|1630538,1,REG,2023,203903|1627736,-9.0,,,,,SF,Primary Ball Handler,-0.43
Shot Chart Detail,22200025,164,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,1,38,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-37,247,1,0,20221021,MIN,UTA,22200025164,6220,0,203497|1627752|1629162|1629669|1630162,0,REG,2023,1627736,12.0,SG,Chaser,-1.56,MISS Edwards 25' 3PT Pullup Jump Shot,SG,Shot Creator,0.79
Shot Chart Detail,22200025,180,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,1,0,36,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,-10,1,0,20221021,MIN,UTA,22200025180,6840,0,203497|1627752|1629162|1629669|1630162,0,REG,2023,200752|1627736,13.0,,,,,PF,Movement Shooter,-1.64
Shot Chart Detail,22200025,182,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,1,0,36,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221021,MIN,UTA,22200025182,6840,0,203497|1627752|1629162|1629669|1630162,0,REG,2023,1627736,15.0,SG,Chaser,-1.56,Prince Tip Layup Shot (2 PTS),PF,Movement Shooter,-1.64
Shot Chart Detail,22200025,189,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,42,-2,424,1,0,20221021,MIN,UTA,22200025189,7200,0,203497|1627752|1629162|1629669|1630183,0,REG,2023,1627736,15.0,SG,Chaser,-1.56,MISS Edwards 42' 3PT Jump Shot,SG,Shot Creator,0.79
Shot Chart Detail,22200025,217,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,9,33,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,15,1,1,20221021,MIN,UTA,22200025217,8670,0,203497|1626156|1627752|1629669|1630183,1,REG,2023,1627736,13.0,SG,Chaser,-1.56,Prince 2' Driving Finger Roll Layup (4 PTS) (Russell 3 AST),PF,Movement Shooter,-1.64
Shot Chart Detail,22200025,260,1629669,Jaylen Nowell,1610612750,Minnesota Timberwolves,2,6,11,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,0,20221021,MIN,UTA,22200025260,10690,0,203085|1626156|1626157|1629669|1630183,0,REG,2023,1627736,10.0,SG,Chaser,-1.56,MISS Nowell 1' Cutting Layup Shot,SG,Secondary Ball Handler,-0.26
