GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID,EVENTNUM
Shot Chart Detail,42500141,626,1642272,Jared McCain,1610612760,Oklahoma City Thunder,4,5,36,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,4,1,0,20260419,OKC,PHX,42500141626,25440,0,1629026|1630198|1630598|1641717|1642272,,PS,2026,1631221|1631123,31.0,,,,,SG,Secondary Ball Handler,-0.513765397840349,,626
Shot Chart Detail,42500141,670,1629026,Kenrich Williams,1610612760,Oklahoma City Thunder,4,0,51,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,12,1,1,20260419,OKC,PHX,42500141670,28290,0,1629026|1630198|1630598|1642260|1642272,,PS,2026,1642853|1631123,36.0,,,,,PF,Stationary Shooter,-0.3437294096831227,,670
