GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,assisted,PLAYERS_ON,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,42300171,9,202331,Paul George,1610612742,LA Clippers,1,11,26,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,13,1,0,20240421,LAC,DAL,423001719,340,0,0,202681|1627884|1629023|1629029|1629655,PS,2024,1627884,SF,Wing Stopper,-0.09,PF,Shot Creator,2.0
Shot Chart Detail,42300171,11,1629599,Amir Coffey,1610612742,LA Clippers,1,11,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-54,241,1,1,20240421,LAC,DAL,4230017111,400,0,1,202681|1627884|1629023|1629029|1629655,PS,2024,,,,,SF,Stationary Shooter,-1.5
Shot Chart Detail,42300171,15,1629599,Amir Coffey,1610612742,LA Clippers,1,10,52,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,13,62,1,0,20240421,LAC,DAL,4230017115,680,0,0,202681|1627884|1629023|1629029|1629655,PS,2024,202681,SG,Chaser,-0.11,SF,Stationary Shooter,-1.5
Shot Chart Detail,42300171,20,202331,Paul George,1610612742,LA Clippers,1,10,18,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,8,1,1,20240421,LAC,DAL,4230017120,1020,0,1,202681|1627884|1629023|1629029|1629655,PS,2024,1629655|1627884,,,,PF,Shot Creator,2.0
Shot Chart Detail,42300171,31,1627826,Ivica Zubac,1610612742,LA Clippers,1,9,46,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,5,1,1,20240421,LAC,DAL,4230017131,1340,0,1,202681|1627884|1629023|1629029|1629655,PS,2024,1629655,C-PF,Anchor Big,2.04,C,Post Scorer,-0.53
Shot Chart Detail,42300171,35,1627826,Ivica Zubac,1610612742,LA Clippers,1,9,1,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,19,1,1,20240421,LAC,DAL,4230017135,1790,0,0,202681|1627884|1629023|1629029|1629655,PS,2024,1629655,C-PF,Anchor Big,2.04,C,Post Scorer,-0.53
Shot Chart Detail,42300171,46,1629611,Terance Mann,1610612742,LA Clippers,1,8,21,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,9,1,0,20240421,LAC,DAL,4230017146,2190,0,0,202681|1627884|1629023|1629029|1641726,PS,2024,1627884|1629023,,,,SG,Athletic Finisher,-0.93
Shot Chart Detail,42300171,50,1627826,Ivica Zubac,1610612742,LA Clippers,1,7,45,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-55,4,1,1,20240421,LAC,DAL,4230017150,2550,0,1,202681|1627884|1629023|1629029|1641726,PS,2024,1641726,C,Anchor Big,1.45,C,Post Scorer,-0.53
Shot Chart Detail,42300171,54,202331,Paul George,1610612742,LA Clippers,1,7,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-163,183,1,1,20240421,LAC,DAL,4230017154,2910,0,1,202681|1627884|1629023|1629029|1641726,PS,2024,1629023,PF,Wing Stopper,0.31,PF,Shot Creator,2.0
Shot Chart Detail,42300171,58,1627826,Ivica Zubac,1610612742,LA Clippers,1,6,14,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,152,96,1,0,20240421,LAC,DAL,4230017158,3460,0,0,202681|1627884|1629023|1629029|1641726,PS,2024,1641726,C,Anchor Big,1.45,C,Post Scorer,-0.53
Shot Chart Detail,42300171,62,1627826,Ivica Zubac,1610612742,LA Clippers,1,5,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,5,1,1,20240421,LAC,DAL,4230017162,3720,0,1,202681|1628467|1629023|1629029|1641726,PS,2024,202681,SG,Chaser,-0.11,C,Post Scorer,-0.53
Shot Chart Detail,42300171,72,1629599,Amir Coffey,1610612742,LA Clippers,1,5,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,13,1,0,20240421,LAC,DAL,4230017172,4030,0,0,202681|1628467|1629023|1629029|1641726,PS,2024,,,,,SF,Stationary Shooter,-1.5
Shot Chart Detail,42300171,78,201935,James Harden,1610612742,LA Clippers,1,4,48,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,13,1,0,20240421,LAC,DAL,4230017178,4320,0,0,202681|1628467|1629023|1629029|1641726,PS,2024,1641726|1629023,,,,PG,Shot Creator,3.13
Shot Chart Detail,42300171,90,201566,Russell Westbrook,1610612742,LA Clippers,1,4,19,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,30,1,1,20240421,LAC,DAL,4230017190,4610,0,1,203957|1628467|1629023|1629029|1641726,PS,2024,,,,,PG,Shot Creator,0.57
Shot Chart Detail,42300171,94,201935,James Harden,1610612742,LA Clippers,1,3,44,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,184,176,1,1,20240421,LAC,DAL,4230017194,4960,0,0,203957|1628467|1629023|1629029|1641726,PS,2024,1629029,PG,Low Activity,0.18,PG,Shot Creator,3.13
Shot Chart Detail,42300171,103,1629599,Amir Coffey,1610612742,LA Clippers,1,3,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,20,1,0,20240421,LAC,DAL,42300171103,5400,0,0,203501|203957|1628467|1629029|1641726,PS,2024,1629029,PG,Low Activity,0.18,SF,Stationary Shooter,-1.5
Shot Chart Detail,42300171,112,1626181,Norman Powell,1610612742,LA Clippers,1,2,40,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-6,114,1,0,20240421,LAC,DAL,42300171112,5600,0,0,203501|203957|1628467|1629029|1641726,PS,2024,1629029|203501,,,,SG,Movement Shooter,0.22
Shot Chart Detail,42300171,116,1627826,Ivica Zubac,1610612742,LA Clippers,1,2,11,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,6,95,1,1,20240421,LAC,DAL,42300171116,5890,0,1,203501|203957|1628467|1629029|1641726,PS,2024,1641726,C,Anchor Big,1.45,C,Post Scorer,-0.53
Shot Chart Detail,42300171,119,201935,James Harden,1610612742,LA Clippers,1,1,37,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,148,215,1,1,20240421,LAC,DAL,42300171119,6230,0,0,203501|203957|1628467|1629029|1641726,PS,2024,1629029,PG,Low Activity,0.18,PG,Shot Creator,3.13
Shot Chart Detail,42300171,133,201935,James Harden,1610612742,LA Clippers,1,0,39,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,6,82,1,1,20240421,LAC,DAL,42300171133,6810,0,0,202681|203501|203957|1628467|1641726,PS,2024,203957,PG,Point of Attack,-0.42,PG,Shot Creator,3.13
Shot Chart Detail,42300171,138,201935,James Harden,1610612742,LA Clippers,1,0,2,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,114,258,1,1,20240421,LAC,DAL,42300171138,7180,0,0,202681|203501|203957|1628467|1641726,PS,2024,203957|1628467,,,,PG,Shot Creator,3.13
Shot Chart Detail,42300171,149,201566,Russell Westbrook,1610612742,LA Clippers,2,11,49,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,14,1,1,20240421,LAC,DAL,42300171149,7310,0,0,202681|1627884|1629023|1629029|1641726,PS,2024,202681,SG,Chaser,-0.11,PG,Shot Creator,0.57
Shot Chart Detail,42300171,152,202331,Paul George,1610612742,LA Clippers,2,11,17,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,25,119,1,0,20240421,LAC,DAL,42300171152,7630,0,0,202681|1627884|1629023|1629029|1641726,PS,2024,1641726|1629029,,,,PF,Shot Creator,2.0
Shot Chart Detail,42300171,158,1626181,Norman Powell,1610612742,LA Clippers,2,10,43,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-83,35,1,1,20240421,LAC,DAL,42300171158,7970,0,1,202681|1627884|1629023|1629029|1641726,PS,2024,202681,SG,Chaser,-0.11,SG,Movement Shooter,0.22
