GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
Shot Chart Detail,21800009,737,101123,Gerald Green,1610612745,Houston Rockets,4,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,96,220,1,0,20181017,HOU,NOP,21800009737,28790,0,101123|203487|203516|1628392|1629109,0,REG,2019,1629026,-19.0,SF,Wing Stopper,0.61,MISS Green 24' 3PT Jump Shot,SG,Movement Shooter,0.27,
Shot Chart Detail,21800075,563,202692,Alec Burks,1610612762,Utah Jazz,4,11,12,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,22,68,1,0,20181027,NOP,UTA,21800075563,22080,0,202327|202692|203957|204060|1627777,0,REG,2019,1629026,19.0,SF,Wing Stopper,0.61,MISS Burks 7' Floating Jump Shot,SG,Secondary Ball Handler,-0.31,
Shot Chart Detail,21800075,623,204060,Joe Ingles,1610612762,Utah Jazz,4,7,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,88,232,1,0,20181027,NOP,UTA,21800075623,24370,0,201937|203109|203497|204060|1628378,0,REG,2019,1629026,12.0,SF,Wing Stopper,0.61,MISS Ingles 25' 3PT Jump Shot,PF,Secondary Ball Handler,0.61,
Shot Chart Detail,21800116,693,202323,Evan Turner,1610612757,Portland Trail Blazers,4,2,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,5,1,0,20181101,POR,NOP,21800116693,27390,0,202323|202329|203081|203468|203994,0,REG,2019,1629026,15.0,SF,Wing Stopper,0.61,MISS Turner 1' Layup,PG,Shot Creator,-0.65,
Shot Chart Detail,21800176,204,203933,T.J. Warren,1610612756,Phoenix Suns,2,8,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,8,1,0,20181110,NOP,PHX,21800176204,9050,0,203933|1628367|1628969|1629028|1629059,0,REG,2019,1629026,-11.0,SF,Wing Stopper,0.61,MISS Warren 3' Layup,SF,Slasher,-0.63,
Shot Chart Detail,21800176,206,203933,T.J. Warren,1610612756,Phoenix Suns,2,8,52,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,14,1,1,20181110,NOP,PHX,21800176206,9080,0,203933|1628367|1628969|1629028|1629059,0,REG,2019,1629026,-9.0,SF,Wing Stopper,0.61,Warren 1' Putback Layup (11 PTS),SF,Slasher,-0.63,
Shot Chart Detail,21800393,634,202694,Marcus Morris Sr.,1610612738,Boston Celtics,4,3,5,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,134,82,1,0,20181210,BOS,NOP,21800393634,26950,0,202694|203935|1626179|1627759|1628464,0,REG,2019,1629026,15.0,SF,Wing Stopper,0.61,MISS Morris Sr. 16' Turnaround Fadeaway Shot,PF,Shot Creator,-0.41,
Shot Chart Detail,21800393,665,1628400,Semi Ojeleye,1610612738,Boston Celtics,4,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-2,263,1,0,20181210,BOS,NOP,21800393665,28210,0,202954|1628400|1628408|1628464|1629057,0,REG,2019,1629026,13.0,SF,Wing Stopper,0.61,MISS Ojeleye 26' 3PT Jump Shot,PF,Athletic Finisher,-1.28,
Shot Chart Detail,21800462,510,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,0,51,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,8,1,1,20181219,MIL,NOP,21800462510,21090,0,201588|203503|203507|1627748|1627763,0,REG,2019,1628402|1629026,-3.0,,,,,PF,Shot Creator,4.33,
Shot Chart Detail,21800462,513,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,0,30,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1,20181219,MIL,NOP,21800462513,21300,0,201588|203503|203507|1627748|1627763,1,REG,2019,1629026,,SF,Wing Stopper,0.61,Antetokounmpo 1' Driving Dunk (19 PTS) (Brogdon 3 AST),PF,Shot Creator,4.33,1627763.0
Shot Chart Detail,21800478,555,1628398,Kyle Kuzma,1610612747,Los Angeles Lakers,4,10,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-161,195,1,1,20181221,LAL,NOP,21800478555,22740,0,200765|203484|1627826|1628398|1628404,1,REG,2019,1629026,8.0,SF,Wing Stopper,0.61,Kuzma 25' 3PT Jump Shot (20 PTS) (Rondo 9 AST),PF,Shot Creator,0.78,200765.0
Shot Chart Detail,21800595,108,202066,Garrett Temple,1610612763,Memphis Grizzlies,1,2,53,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,172,51,1,1,20190107,NOP,MEM,21800595108,5470,0,201149|201956|202066|203210|1628975,0,REG,2019,1629026,1.0,SF,Wing Stopper,0.61,Temple 18' Step Back Jump Shot (5 PTS),SG,Movement Shooter,-2.05,
Shot Chart Detail,21800595,648,201956,Omri Casspi,1610612763,Memphis Grizzlies,4,2,9,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,1,20190107,NOP,MEM,21800595648,27510,0,201956|203200|1628397|1628975|1629139,1,REG,2019,1629026,-21.0,SF,Wing Stopper,0.61,Casspi 2' Cutting Layup Shot (9 PTS) (Rabb 1 AST),SF,Athletic Finisher,-1.19,1628397.0
Shot Chart Detail,21800612,85,1626224,Cedi Osman,1610612739,Cleveland Cavaliers,1,4,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-202,148,1,1,20190109,NOP,CLE,2180061285,4650,0,202684|203521|203903|1626224|1627790,1,REG,2019,1629026,2.0,SF,Wing Stopper,0.61,Osman 25' 3PT Jump Shot (3 PTS) (Zizic 1 AST),SF,Secondary Ball Handler,-1.41,1627790.0
Shot Chart Detail,21800717,175,1627846,Abdel Nader,1610612760,Oklahoma City Thunder,2,10,54,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20190124,OKC,NOP,21800717175,7860,0,202331|202335|203457|203471|1627846,1,REG,2019,1629026,,SF,Wing Stopper,0.61,Nader 1' Driving Dunk (2 PTS) (George 1 AST),SF,Stationary Shooter,-2.61,202331.0
Shot Chart Detail,21800717,186,202335,Patrick Patterson,1610612760,Oklahoma City Thunder,2,10,14,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,-2,1,1,20190124,OKC,NOP,21800717186,8260,0,202331|202335|203457|203471|1627846,0,REG,2019,1628402|1629026,1.0,,,,,PF,Stretch Big,-1.75,
Shot Chart Detail,21800717,189,1627846,Abdel Nader,1610612760,Oklahoma City Thunder,2,9,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-171,182,1,0,20190124,OKC,NOP,21800717189,8580,0,202331|202335|203457|203471|1627846,0,REG,2019,1629026,1.0,SF,Wing Stopper,0.61,MISS Nader 25' 3PT Jump Shot,SF,Stationary Shooter,-2.61,
Shot Chart Detail,21800717,233,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,6,59,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,19,1,1,20190124,OKC,NOP,21800717233,10210,0,201566|202335|203471|203500|1627846,1,REG,2019,1629026,1.0,SF,Wing Stopper,0.61,Westbrook 2' Cutting Dunk Shot (6 PTS) (Schroder 3 AST),PG,Shot Creator,3.44,203471.0
Shot Chart Detail,21800717,495,203471,Dennis Schröder,1610612760,Oklahoma City Thunder,4,10,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,1,20190124,OKC,NOP,21800717495,22280,0,202331|202335|203457|203471|1627846,0,REG,2019,1629026,16.0,SF,Wing Stopper,0.61,Schroder 2' Driving Finger Roll Layup (8 PTS),PG,Primary Ball Handler,0.45,
Shot Chart Detail,21800717,497,203457,Nerlens Noel,1610612760,Oklahoma City Thunder,4,10,26,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,78,23,1,0,20190124,OKC,NOP,21800717497,22540,0,202331|202335|203457|203471|1627846,0,REG,2019,1629026,14.0,SF,Wing Stopper,0.61,MISS Noel 8' Floating Jump Shot,C,Roll + Cut Big,-1.54,
Shot Chart Detail,21800730,610,201967,Dante Cunningham,1610612759,San Antonio Spurs,4,4,17,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,14,1,0,20190126,NOP,SAS,21800730610,26230,0,2200|201967|201988|202347|1629022,0,REG,2019,1629026,16.0,SF,Wing Stopper,0.61,MISS Cunningham 2' Driving Reverse Layup,PF,Athletic Finisher,-2.09,
Shot Chart Detail,21800730,619,202347,Quincy Pondexter,1610612759,San Antonio Spurs,4,3,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,8,251,1,0,20190126,NOP,SAS,21800730619,26490,0,2200|201967|201988|202347|1629022,0,REG,2019,1629026,16.0,SF,Wing Stopper,0.61,MISS Pondexter 25' 3PT Jump Shot,SF,Athletic Finisher,-1.39,
Shot Chart Detail,21800730,658,1629002,Chimezie Metu,1610612759,San Antonio Spurs,4,1,3,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,99,29,1,0,20190126,NOP,SAS,21800730658,28170,0,201967|202347|1627751|1629002|1629022,0,REG,2019,1629026,16.0,SF,Wing Stopper,0.61,MISS Metu 10' Turnaround Fadeaway Shot,PF,Post Scorer,-1.51,
Shot Chart Detail,21800753,195,201569,Eric Gordon,1610612745,Houston Rockets,2,9,33,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-136,222,1,0,20190129,HOU,NOP,21800753195,8670,0,101108|201569|202702|203085|203516,0,REG,2019,1629026,9.0,SF,Wing Stopper,0.61,MISS Gordon 26' 3PT Pullup Jump Shot,SG,Movement Shooter,1.52,
Shot Chart Detail,21800753,220,101123,Gerald Green,1610612745,Houston Rockets,2,7,58,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,27,1,1,20190129,HOU,NOP,21800753220,9620,0,101108|101123|201569|202702|203085,1,REG,2019,1629026,10.0,SF,Wing Stopper,0.61,Green 5' Driving Layup (2 PTS) (Paul 5 AST),SG,Movement Shooter,0.27,101108.0
Shot Chart Detail,21800753,440,201935,James Harden,1610612745,Houston Rockets,3,4,21,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-103,241,1,0,20190129,HOU,NOP,21800753440,18990,0,2403|200782|201935|203085|203516,0,REG,2019,1629026,2.0,SF,Wing Stopper,0.61,MISS Harden 26' 3PT Step Back Jump Shot,PG,Shot Creator,6.42,
Shot Chart Detail,21800753,444,203085,Austin Rivers,1610612745,Houston Rockets,3,3,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-178,198,1,1,20190129,HOU,NOP,21800753444,19230,0,2403|200782|201935|203085|203516,1,REG,2019,1629026,5.0,SF,Wing Stopper,0.61,Rivers 27' 3PT Jump Shot (5 PTS) (Harden 6 AST),SG,Shot Creator,-1.07,201935.0
Shot Chart Detail,21800753,473,101123,Gerald Green,1610612745,Houston Rockets,3,2,18,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,47,110,1,0,20190129,HOU,NOP,21800753473,20220,0,2403|101123|201935|203085|203516,0,REG,2019,1629026,0.0,SF,Wing Stopper,0.61,MISS Green 12' Pullup Jump Shot,SG,Movement Shooter,0.27,
Shot Chart Detail,21800753,513,201569,Eric Gordon,1610612745,Houston Rockets,4,11,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20190129,HOU,NOP,21800753513,21900,0,101108|200782|201569|202702|203085,0,REG,2019,1627767|1629026,-1.0,,,,,SG,Movement Shooter,1.52,
Shot Chart Detail,21800753,540,203516,James Ennis III,1610612745,Houston Rockets,4,10,12,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,14,1,0,20190129,HOU,NOP,21800753540,22680,0,101108|200782|201935|203085|203516,0,REG,2019,1629026,-5.0,SF,Wing Stopper,0.61,MISS Ennis III 2' Running Layup,SF,Athletic Finisher,-0.97,
Shot Chart Detail,21800753,574,201935,James Harden,1610612745,Houston Rockets,4,7,29,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-11,55,1,0,20190129,HOU,NOP,21800753574,24310,0,200782|201935|202702|203085|203516,0,REG,2019,201950|1629026,-5.0,,,,,PG,Shot Creator,6.42,
Shot Chart Detail,21800753,596,200782,P.J. Tucker,1610612745,Houston Rockets,4,6,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,11,1,0,20190129,HOU,NOP,21800753596,25200,0,200782|201569|201935|202702|203085,0,REG,2019,1629026,-5.0,SF,Wing Stopper,0.61,MISS Tucker 3PT Jump Shot,PF,Stationary Shooter,-1.45,
Shot Chart Detail,21800753,610,201935,James Harden,1610612745,Houston Rockets,4,7,27,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-51,58,1,0,20190129,HOU,NOP,21800753610,24330,0,200782|201935|202702|203085|203516,0,REG,2019,1626143|1629026,-5.0,,,,,PG,Shot Creator,6.42,
Shot Chart Detail,21800753,622,201569,Eric Gordon,1610612745,Houston Rockets,4,4,21,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,155,225,1,0,20190129,HOU,NOP,21800753622,26190,0,101108|200782|201569|201935|202702,0,REG,2019,1629026,-8.0,SF,Wing Stopper,0.61,MISS Gordon 27' 3PT Pullup Jump Shot,SG,Movement Shooter,1.52,
