GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
Shot Chart Detail,21800008,7,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,11,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-129,63,1,0,20181017,TOR,CLE,218000087,160,0,201567|201588|202684|203918|1626224,0,REG,2019,1627783,-0.0,PF,Wing Stopper,0.93,MISS Love 14' Jump Shot,PF,Versatile Big,2.24,
Shot Chart Detail,21800008,16,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,10,50,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,6,1,0,20181017,TOR,CLE,2180000816,700,0,201567|201588|202684|203918|1626224,0,REG,2019,1627783,-0.0,PF,Wing Stopper,0.93,MISS Love 2' Driving Floating Bank Jump Shot,PF,Versatile Big,2.24,
Shot Chart Detail,21800008,208,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,9,24,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-119,36,1,0,20181017,TOR,CLE,21800008208,8760,0,201567|201588|202684|203903|1626224,0,REG,2019,1627783,-6.0,PF,Wing Stopper,0.93,MISS Love 12' Jump Bank Shot,PF,Versatile Big,2.24,
Shot Chart Detail,21800008,214,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,2,8,53,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,4,1,1,20181017,TOR,CLE,21800008214,9070,0,201567|201588|202684|203903|1626224,0,REG,2019,1626181|1627783,-4.0,,,,,SG,Shot Creator,0.02,
Shot Chart Detail,21800008,255,201588,George Hill,1610612739,Cleveland Cavaliers,2,6,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,114,219,1,1,20181017,TOR,CLE,21800008255,10550,0,201567|201588|202684|203903|1626224,1,REG,2019,1627783,-3.0,PF,Wing Stopper,0.93,G. Hill 25' 3PT Jump Shot (5 PTS) (Osman 1 AST),PG,Secondary Ball Handler,-0.09,1626224.0
Shot Chart Detail,21800008,372,201588,George Hill,1610612739,Cleveland Cavaliers,3,11,30,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,6,267,1,1,20181017,TOR,CLE,21800008372,14700,0,201567|201588|202684|203918|1626224,1,REG,2019,1627783,-13.0,PF,Wing Stopper,0.93,G. Hill 27' 3PT Pullup Jump Shot (9 PTS) (Osman 2 AST),PG,Secondary Ball Handler,-0.09,1626224.0
Shot Chart Detail,21800008,382,203918,Rodney Hood,1610612739,Cleveland Cavaliers,3,10,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-73,259,1,0,20181017,TOR,CLE,21800008382,15390,0,201567|201588|202684|203918|1626224,0,REG,2019,1627783,-12.0,PF,Wing Stopper,0.93,MISS Hood 27' 3PT Jump Shot,SG,Shot Creator,0.15,
Shot Chart Detail,21800008,409,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,7,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-192,179,1,1,20181017,TOR,CLE,21800008409,16850,0,201567|201588|202684|203918|1626224,1,REG,2019,1627783,-17.0,PF,Wing Stopper,0.93,Love 26' 3PT Jump Shot (12 PTS) (G. Hill 4 AST),PF,Versatile Big,2.24,201588.0
Shot Chart Detail,21800008,429,201588,George Hill,1610612739,Cleveland Cavaliers,3,5,58,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,5,1,0,20181017,TOR,CLE,21800008429,18020,0,201567|201588|203918|1626224|1627790,0,REG,2019,1627783,-16.0,PF,Wing Stopper,0.93,MISS G. Hill 2' Driving Reverse Layup,PG,Secondary Ball Handler,-0.09,
Shot Chart Detail,21800008,678,1626224,Cedi Osman,1610612739,Cleveland Cavaliers,4,2,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,16,1,0,20181017,TOR,CLE,21800008678,27210,0,201567|201588|203903|203918|1626224,0,REG,2019,1627783,-8.0,PF,Wing Stopper,0.93,Siakam BLOCK (1 BLK),SF,Secondary Ball Handler,-1.41,
Shot Chart Detail,21800008,688,201567,Kevin Love,1610612739,Cleveland Cavaliers,4,2,0,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,5,73,1,0,20181017,TOR,CLE,21800008688,27600,0,201567|201588|203903|203918|1626224,0,REG,2019,1627783,-11.0,PF,Wing Stopper,0.93,MISS Love 7' Driving Hook Shot,PF,Versatile Big,2.24,
