GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,21800403,275,1627854,Bryn Forbes,1610612759,San Antonio Spurs,2,4,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-92,254,1,1,20181211,SAS,PHX,21800403275,11890,0,200746|200752|201942|201988|1627854,1,REG,2019,1628994,,SF,Chaser,-0.35,Forbes 27' 3PT Jump Shot (14 PTS) (DeRozan 6 AST),SG,Secondary Ball Handler,-1.12
Shot Chart Detail,21800403,284,201942,DeMar DeRozan,1610612759,San Antonio Spurs,2,3,11,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,13,1,1,20181211,SAS,PHX,21800403284,12490,0,200746|200752|201942|201988|1627854,0,REG,2019,1628994,,SF,Chaser,-0.35,DeRozan 2' Finger Roll Layup (5 PTS),SG,Shot Creator,0.51
Shot Chart Detail,21800403,619,201158,Marco Belinelli,1610612759,San Antonio Spurs,4,1,1,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,51,36,1,1,20181211,SAS,PHX,21800403619,28190,0,201158|202347|1627751|1628401|1629002,1,REG,2019,1628994,,SF,Chaser,-0.35,Belinelli 6' Cutting Finger Roll Layup Shot (11 PTS) (White 7 AST),SG,Movement Shooter,-0.23
