GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
Shot Chart Detail,22500058,642,1641780,Johni Broome,1610612755,Philadelphia 76ers,4,5,40,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,0,20251125,PHI,ORL,22500058642,25400,0,201569|1631133|1631230|1641780|1642282,0,REG,2026,1631115,-44.0,C,Mobile Big,-0.1574262672365828,MISS Broome 1' Driving Finger Roll Layup,PF,Low Minute,-0.493009647778076,
Shot Chart Detail,22500058,647,201569,Eric Gordon,1610612755,Philadelphia 76ers,4,5,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,15,1,1,20251125,PHI,ORL,22500058647,25640,0,201569|1631133|1631230|1641780|1642282,1,REG,2026,1631115,-44.0,C,Mobile Big,-0.1574262672365828,Gordon 2' Driving Layup (7 PTS) (Broome 2 AST),SG,Low Minute,-0.757313270080956,1641780.0
Shot Chart Detail,22500058,655,1642282,Hunter Sallis,1610612755,Philadelphia 76ers,4,4,12,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,76,84,1,0,20251125,PHI,ORL,22500058655,26280,0,201569|1631133|1631230|1641780|1642282,0,REG,2026,1631115,-41.0,C,Mobile Big,-0.1574262672365828,MISS Sallis 11' Pullup Jump Shot,SG,Low Minute,-0.5774509601260509,
Shot Chart Detail,22500058,665,1641780,Johni Broome,1610612755,Philadelphia 76ers,4,3,30,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-11,60,1,0,20251125,PHI,ORL,22500058665,26700,0,201569|1631133|1631230|1641780|1642282,0,REG,2026,1631115,-41.0,C,Mobile Big,-0.1574262672365828,MISS Broome 6' Driving Hook Shot,PF,Low Minute,-0.493009647778076,
Shot Chart Detail,22500058,688,1631133,Jabari Walker,1610612755,Philadelphia 76ers,4,0,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20251125,PHI,ORL,22500058688,28240,0,201569|1631133|1631230|1641780|1642282,1,REG,2026,1642869|1631115,-40.0,,,,,PF,Stationary Shooter,-1.820921710365172,201569.0
Shot Chart Detail,22500058,697,1641780,Johni Broome,1610612755,Philadelphia 76ers,4,0,28,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20251125,PHI,ORL,22500058697,28520,0,201569|1631133|1631230|1641780|1642282,0,REG,2026,1631288|1631115,-39.0,,,,,PF,Low Minute,-0.493009647778076,
Shot Chart Detail,22500138,694,1629012,Collin Sexton,1610612766,Charlotte Hornets,4,1,4,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-114,232,1,1,20251030,CHA,ORL,22500138694,28160,0,1626192|1629012|1631217|1642275|1642862,1,REG,2026,1631115,-15.0,C,Mobile Big,-0.1574262672365828,Sexton 26' 3PT Running Jump Shot (19 PTS) (McNeeley 4 AST),SG,Primary Ball Handler,0.3540324600370613,1642862.0
Shot Chart Detail,22500277,11,1629674,Neemias Queta,1610612738,Boston Celtics,1,11,15,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20251123,BOS,ORL,2250027711,450,0,1627759|1628401|1629674|1630202|1641775,0,REG,2026,1631115,2.0,C,Mobile Big,-0.1574262672365828,Queta Tip Dunk Shot (2 PTS),C,Roll + Cut Big,-0.3098132286237436,
Shot Chart Detail,22500277,21,1630202,Payton Pritchard,1610612738,Boston Celtics,1,10,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,130,65,1,1,20251123,BOS,ORL,2250027721,1190,0,1627759|1628401|1629674|1630202|1641775,0,REG,2026,1631115,2.0,C,Mobile Big,-0.1574262672365828,Pritchard 15' Pullup Jump Shot (2 PTS),PG,Primary Ball Handler,2.1615440158886274,
Shot Chart Detail,22500277,41,1629674,Neemias Queta,1610612738,Boston Celtics,1,8,29,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,12,1,1,20251123,BOS,ORL,2250027741,2110,0,1627759|1628401|1629674|1630202|1641775,1,REG,2026,1631115,4.0,C,Mobile Big,-0.1574262672365828,Queta 3' Alley Oop Dunk (4 PTS) (Pritchard 2 AST),C,Roll + Cut Big,-0.3098132286237436,1630202.0
