GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
Shot Chart Detail,42000111,20,201142,Kevin Durant,1610612751,Brooklyn Nets,1,9,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,138,206,1,0,20210522,BKN,BOS,4200011120,1470,0,201142|201933|201935|202681|203925,0,PS,2021,203935,-2.0,PG,Point of Attack,1.01,MISS Durant 25' 3PT Jump Shot,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,40,201142,Kevin Durant,1610612751,Brooklyn Nets,1,7,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20210522,BKN,BOS,4200011140,2930,0,201142|201933|201935|202681|203925,1,PS,2021,203095,-5.0,SF,Chaser,-0.22,Durant 1' Driving Dunk (2 PTS) (Harden 2 AST),PF,Shot Creator,3.68,201935.0
Shot Chart Detail,42000111,44,201142,Kevin Durant,1610612751,Brooklyn Nets,1,6,29,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1,20210522,BKN,BOS,4200011144,3310,0,201142|201933|201935|202681|203925,1,PS,2021,202684,-3.0,C,Anchor Big,1.33,Durant 1' Driving Dunk (4 PTS) (Harden 3 AST),PF,Shot Creator,3.68,201935.0
Shot Chart Detail,42000111,73,201142,Kevin Durant,1610612751,Brooklyn Nets,1,4,32,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,88,231,1,0,20210522,BKN,BOS,4200011173,4480,0,201142|201145|202681|203925|1628971,0,PS,2021,1629057,-6.0,C,Anchor Big,2.18,MISS Durant 25' 3PT Running Pull-Up Jump Shot,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,94,201142,Kevin Durant,1610612751,Brooklyn Nets,1,3,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,34,1,0,20210522,BKN,BOS,4200011194,5150,0,201142|201145|202681|203925|1628971,0,PS,2021,1630174,-2.0,SF,Low Activity,-0.2,MISS Durant 12' Jump Shot,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,99,201142,Kevin Durant,1610612751,Brooklyn Nets,1,3,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,39,146,1,0,20210522,BKN,BOS,4200011199,5400,0,201142|201145|202681|203925|1628971,0,PS,2021,203935,-2.0,PG,Point of Attack,1.01,MISS Durant 15' Pullup Jump Shot,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,113,201142,Kevin Durant,1610612751,Brooklyn Nets,1,2,42,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-2,77,1,0,20210522,BKN,BOS,42000111113,5580,0,201142|201145|202681|1628971|1629013,0,PS,2021,1629057|1628369,-2.0,,,,,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,127,201142,Kevin Durant,1610612751,Brooklyn Nets,1,1,47,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,13,87,1,0,20210522,BKN,BOS,42000111127,6130,0,201142|201145|202681|1628971|1629013,0,PS,2021,1630174,-2.0,SF,Low Activity,-0.2,MISS Durant 9' Driving Floating Jump Shot,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,133,201142,Kevin Durant,1610612751,Brooklyn Nets,1,1,0,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,19,90,1,0,20210522,BKN,BOS,42000111133,6600,0,201142|201145|202681|1628971|1629013,0,PS,2021,203953,-5.0,PF,Helper,-0.25,MISS Durant 9' Floating Jump Shot,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,143,201142,Kevin Durant,1610612751,Brooklyn Nets,1,0,5,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,41,245,1,0,20210522,BKN,BOS,42000111143,7150,0,201142|201145|201935|1628971|1629013,0,PS,2021,203953,-5.0,PF,Helper,-0.25,MISS Durant 25' 3PT Pullup Jump Shot,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,245,201142,Kevin Durant,1610612751,Brooklyn Nets,2,5,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,111,19,1,1,20210522,BKN,BOS,42000111245,10980,0,201142|201145|201935|202681|1629651,0,PS,2021,1628369,-3.0,SF,Helper,0.84,Durant 11' Pullup Jump Shot (10 PTS),PF,Shot Creator,3.68,
Shot Chart Detail,42000111,264,201142,Kevin Durant,1610612751,Brooklyn Nets,2,4,59,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20210522,BKN,BOS,42000111264,11410,0,201142|201933|201935|202681|1628971,1,PS,2021,203953,-3.0,PF,Helper,-0.25,Durant Cutting Dunk Shot (12 PTS) (Griffin 2 AST),PF,Shot Creator,3.68,201933.0
Shot Chart Detail,42000111,268,201142,Kevin Durant,1610612751,Brooklyn Nets,2,4,20,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,54,109,1,0,20210522,BKN,BOS,42000111268,11800,0,201142|201933|201935|202681|1628971,0,PS,2021,203935,-5.0,PG,Point of Attack,1.01,MISS Durant 12' Turnaround Jump Shot,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,314,201142,Kevin Durant,1610612751,Brooklyn Nets,2,0,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,115,56,1,1,20210522,BKN,BOS,42000111314,13910,0,201142|201933|202681|203925|1628971,1,PS,2021,1628369|203095,-7.0,,,,,PF,Shot Creator,3.68,201933.0
Shot Chart Detail,42000111,329,201142,Kevin Durant,1610612751,Brooklyn Nets,2,0,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-109,232,1,0,20210522,BKN,BOS,42000111329,14380,0,201142|201933|201935|202681|203925,0,PS,2021,203953,-6.0,PF,Helper,-0.25,MISS Durant 26' 3PT Pullup Jump Shot,PF,Shot Creator,3.68,
Shot Chart Detail,42000111,342,201142,Kevin Durant,1610612751,Brooklyn Nets,3,11,33,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,58,1,1,20210522,BKN,BOS,42000111342,14670,0,201142|201933|201935|202681|203925,0,PS,2021,203935,-4.0,PG,Point of Attack,1.01,Durant 6' Turnaround Jump Shot (18 PTS),PF,Shot Creator,3.68,
Shot Chart Detail,42000111,377,201142,Kevin Durant,1610612751,Brooklyn Nets,3,8,19,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,193,1,1,20210522,BKN,BOS,42000111377,16610,0,201142|201933|201935|202681|203925,0,PS,2021,203095,3.0,SF,Chaser,-0.22,Durant 26' 3PT Pullup Jump Shot (23 PTS),PF,Shot Creator,3.68,
