GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,assisted,PLAYERS_ON,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,opp_team,OPP_ID
Shot Chart Detail,22000012,9,1628365,Markelle Fultz,1610612748,Orlando Magic,1,11,30,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,6,1,1,20201223,ORL,MIA,220000129,300,0,0,202710|203090|1628389|1629130|1629639,REG,2021,1628389,0.0,C,Mobile Big,1.9,Fultz 3' Driving Reverse Layup (2 PTS),PG,Slasher,-1.0,ORL,1610612753.0
Shot Chart Detail,22000012,20,1628407,Dwayne Bacon,1610612748,Orlando Magic,1,10,45,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-20,126,1,0,20201223,ORL,MIA,2200001220,750,0,0,202710|203090|1628389|1629130|1629639,REG,2021,1629639,0.0,SG,Chaser,-1.25,MISS Bacon 13' Pullup Jump Shot,SG,Secondary Ball Handler,-2.21,ORL,1610612753.0
Shot Chart Detail,22000012,27,203932,Aaron Gordon,1610612748,Orlando Magic,1,9,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-146,199,1,0,20201223,ORL,MIA,2200001227,1240,0,0,202710|203090|1628389|1629130|1629639,REG,2021,202710,-5.0,SF,Helper,1.6,MISS Gordon 25' 3PT Jump Shot,PF,Versatile Big,-0.23,ORL,1610612753.0
Shot Chart Detail,22000012,31,203095,Evan Fournier,1610612748,Orlando Magic,1,9,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,94,236,1,1,20201223,ORL,MIA,2200001231,1480,0,1,202710|203090|1628389|1629130|1629639,REG,2021,,,,,,,SF,Off Screen Shooter,0.24,ORL,1610612753.0
Shot Chart Detail,22000012,40,203932,Aaron Gordon,1610612748,Orlando Magic,1,8,55,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,5,1,1,20201223,ORL,MIA,2200001240,1850,0,1,202710|203090|1628389|1629130|1629639,REG,2021,1629130,0.0,SF,Low Activity,1.36,Gordon 1' Running Dunk (2 PTS) (Fultz 1 AST),PF,Versatile Big,-0.23,ORL,1610612753.0
Shot Chart Detail,22000012,44,1628365,Markelle Fultz,1610612748,Orlando Magic,1,8,34,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,104,127,1,0,20201223,ORL,MIA,2200001244,2060,0,0,202710|203090|1628389|1629130|1629639,REG,2021,1628389,0.0,C,Mobile Big,1.9,MISS Fultz 16' Pullup Jump Shot,PG,Slasher,-1.0,ORL,1610612753.0
Shot Chart Detail,22000012,48,203095,Evan Fournier,1610612748,Orlando Magic,1,8,10,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,19,1,1,20201223,ORL,MIA,2200001248,2300,0,1,202710|203090|1628389|1629130|1629639,REG,2021,1629639,2.0,SG,Chaser,-1.25,Fournier 2' Running Layup (5 PTS) (Bacon 2 AST),SF,Off Screen Shooter,0.24,ORL,1610612753.0
Shot Chart Detail,22000012,60,203932,Aaron Gordon,1610612748,Orlando Magic,1,7,10,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-154,198,1,0,20201223,ORL,MIA,2200001260,2900,0,0,202710|203090|1628389|1629130|1629639,REG,2021,1629639,1.0,SG,Chaser,-1.25,MISS Gordon 25' 3PT Step Back Jump Shot,PF,Versatile Big,-0.23,ORL,1610612753.0
Shot Chart Detail,22000012,64,203932,Aaron Gordon,1610612748,Orlando Magic,1,6,34,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-4,1,1,20201223,ORL,MIA,2200001264,3260,0,1,202710|203090|1628389|1629130|1629639,REG,2021,202710,0.0,SF,Helper,1.6,Gordon 1' Dunk (4 PTS) (Vucevic 1 AST),PF,Versatile Big,-0.23,ORL,1610612753.0
Shot Chart Detail,22000012,73,203095,Evan Fournier,1610612748,Orlando Magic,1,5,39,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-199,162,1,0,20201223,ORL,MIA,2200001273,3810,0,0,202710|203090|1628389|1629130|1629639,REG,2021,202710,-3.0,SF,Helper,1.6,MISS Fournier 26' 3PT Running Jump Shot,SF,Off Screen Shooter,0.24,ORL,1610612753.0
