GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
Shot Chart Detail,22500024,149,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,1,1,5,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,6,63,1,0,20251031,MEM,LAL,22500024149,6550,0,203484|1629111|1630583|1631246|1642907,0,REG,2026,1629637|1630559,-2.0,,,,,SG,Primary Ball Handler,0.138507512797832,
Shot Chart Detail,22500024,276,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,2,6,5,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,77,239,1,1,20251031,MEM,LAL,22500024276,10750,0,1629111|1629723|1631246|1642285|1642907,0,REG,2026,1629028,-2.0,C,Anchor Big,0.7260202772704065,Williams Jr. 25' 3PT Pullup Jump Shot (3 PTS),SG,Primary Ball Handler,0.138507512797832,
Shot Chart Detail,22500024,283,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,2,5,12,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20251031,MEM,LAL,22500024283,11280,0,1629111|1629723|1631246|1642285|1642907,1,REG,2026,1629028,0.0,C,Anchor Big,0.7260202772704065,Williams Jr. 1' Running Finger Roll Layup (5 PTS) (Coward 1 AST),SG,Primary Ball Handler,0.138507512797832,1642907.0
Shot Chart Detail,22500024,287,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,2,4,55,Missed Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,-2,1,0,20251031,MEM,LAL,22500024287,11450,0,1629111|1629723|1631246|1642285|1642907,0,REG,2026,1629029,0.0,PG,Helper,0.6540186797913186,MISS Williams Jr. 3PT Running Jump Shot,SG,Primary Ball Handler,0.138507512797832,
Shot Chart Detail,22500024,296,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,2,4,7,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,98,68,1,1,20251031,MEM,LAL,22500024296,11930,0,1629111|1629723|1631246|1642285|1642907,0,REG,2026,1631222,4.0,PF,Helper,0.830408700998384,Williams Jr. 12' Floating Jump Shot (7 PTS),SG,Primary Ball Handler,0.138507512797832,
Shot Chart Detail,22500024,423,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,3,6,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-227,88,1,0,20251031,MEM,LAL,22500024423,17640,0,1628991|1630583|1631246|1642285|1642907,0,REG,2026,1629060,1.0,PF,Wing Stopper,-0.1779230692273389,MISS Williams Jr. 24' 3PT Jump Shot,SG,Primary Ball Handler,0.138507512797832,
Shot Chart Detail,22500024,461,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,3,3,46,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,159,207,1,0,20251031,MEM,LAL,22500024461,19340,0,1628991|1630583|1631246|1642285|1642907,0,REG,2026,1629029,1.0,PG,Helper,0.6540186797913186,MISS Williams Jr. 26' 3PT Running Jump Shot,SG,Primary Ball Handler,0.138507512797832,
Shot Chart Detail,22500024,465,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,3,3,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,180,1,0,20251031,MEM,LAL,22500024465,19670,0,1628991|1630583|1631246|1642285|1642907,0,REG,2026,1629029,-1.0,PG,Helper,0.6540186797913186,MISS Williams Jr. 25' 3PT Jump Shot,SG,Primary Ball Handler,0.138507512797832,
Shot Chart Detail,22500024,575,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,4,7,42,Missed Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,4,1,0,20251031,MEM,LAL,22500024575,24180,0,1628991|1630583|1631246|1642285|1642907,0,REG,2026,,,,,,,SG,Primary Ball Handler,0.138507512797832,
Shot Chart Detail,22500034,77,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,1,5,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,97,237,1,0,20251107,MEM,DAL,2250003477,3690,0,1628991|1630583|1631246|1642377|1642907,0,REG,2026,203939,12.0,C,Mobile Big,0.1504985425253161,MISS Williams Jr. 26' 3PT Jump Shot,SG,Primary Ball Handler,0.138507512797832,
