GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID,EVENTNUM
Shot Chart Detail,22500021,78,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,1,5,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-45,264,1,0,20251031,PHI,BOS,2250002178,4120,0,1626162|1629656|1630178|1641737|1642845,0,REG,2026,1627759,-3.0,SF,Helper,-0.3451132172739497,MISS Oubre Jr. 27' 3PT Jump Shot,SF,Shot Creator,-1.4591072992742613,,78
Shot Chart Detail,22500021,130,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,1,1,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,123,234,1,1,20251031,PHI,BOS,22500021130,6440,0,1626162|1629656|1630178|1641737|1642348,1,REG,2026,1630573,-12.0,PF,Helper,0.5132085208444515,Oubre Jr. 26' 3PT Jump Shot (3 PTS) (Maxey 4 AST),SF,Shot Creator,-1.4591072992742613,1630178.0,130
Shot Chart Detail,22500021,259,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,2,5,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,108,1,0,20251031,PHI,BOS,22500021259,11050,0,203083|1626162|1629656|1630178|1642845,0,REG,2026,1627759,-22.0,SF,Helper,-0.3451132172739497,MISS Oubre Jr. 25' 3PT Jump Shot,SF,Shot Creator,-1.4591072992742613,,259
Shot Chart Detail,22500021,285,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,2,3,21,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,61,1,1,20251031,PHI,BOS,22500021285,12390,0,203083|1626162|1629656|1630178|1642845,1,REG,2026,1629014,-22.0,SG,Low Activity,-0.3593833990888518,Oubre Jr. 6' Driving Floating Jump Shot (5 PTS) (Maxey 5 AST),SF,Shot Creator,-1.4591072992742613,1630178.0,285
Shot Chart Detail,22500021,323,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,2,0,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,13,1,1,20251031,PHI,BOS,22500021323,13950,0,203083|1626162|1630178|1642348|1642845,1,REG,2026,1628401,-13.0,SG,Chaser,2.000519442447828,Oubre Jr. 1' Running Layup (7 PTS) (Edgecombe 4 AST),SF,Shot Creator,-1.4591072992742613,1642845.0,323
Shot Chart Detail,22500021,338,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,2,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,20,1,1,20251031,PHI,BOS,22500021338,14400,0,203083|1626162|1630178|1642348|1642845,1,REG,2026,1628401|1629674,-11.0,,,,,SF,Shot Creator,-1.4591072992742613,1630178.0,338
Shot Chart Detail,22500021,373,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,3,9,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,16,27,1,0,20251031,PHI,BOS,22500021373,15810,0,203954|1626162|1630178|1631133|1642845,0,REG,2026,1630202,-7.0,PG,Chaser,-0.1494328365834683,MISS Oubre Jr. 3' Driving Layup,SF,Shot Creator,-1.4591072992742613,,373
Shot Chart Detail,22500021,382,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,3,9,1,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,7,62,1,0,20251031,PHI,BOS,22500021382,16190,0,203954|1626162|1630178|1631133|1642845,0,REG,2026,1628401|1629674,-7.0,,,,,SF,Shot Creator,-1.4591072992742613,,382
Shot Chart Detail,22500021,454,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,3,4,19,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,228,86,1,0,20251031,PHI,BOS,22500021454,19010,0,203083|1626162|1629656|1630178|1642845,0,REG,2026,1630202,-5.0,PG,Chaser,-0.1494328365834683,MISS Oubre Jr. 24' 3PT Jump Shot,SF,Shot Creator,-1.4591072992742613,,454
Shot Chart Detail,22500021,551,1626162,Kelly Oubre Jr.,1610612755,Philadelphia 76ers,4,10,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-140,227,1,1,20251031,PHI,BOS,22500021551,22280,0,1626162|1629656|1630178|1630570|1641737,1,REG,2026,1629674,-4.0,C,Anchor Big,2.827736521400925,Oubre Jr. 27' 3PT Jump Shot (14 PTS) (Maxey 12 AST),SF,Shot Creator,-1.4591072992742613,1630178.0,551
