GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,22400195,660,1641741,Ricky Council IV,1610612755,Philadelphia 76ers,4,0,44,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-45,50,1,0,20241108,LAL,PHI,22400195660,28360,0,1630288|1631311|1641737|1641741|1642272,0,REG,2025,1641720,SG,Point of Attack,-0.5090627560608302,SF,Movement Shooter,-0.1732996745052262
Shot Chart Detail,22400311,99,1628381,John Collins,1610612762,Utah Jazz,1,4,22,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-60,94,1,0,20241201,UTA,LAL,2240031199,4580,0,1628381|1629234|1641718|1641729|1642268,0,REG,2025,1642422|1641720,,,,PF,Athletic Finisher,-0.1789172697610734
Shot Chart Detail,22400311,102,1628381,John Collins,1610612762,Utah Jazz,1,4,20,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-12,74,1,1,20241201,UTA,LAL,22400311102,4600,0,1628381|1629234|1641718|1641729|1642268,0,REG,2025,1642422|1641720,,,,PF,Athletic Finisher,-0.1789172697610734
Shot Chart Detail,22400311,314,1641729,Brice Sensabaugh,1610612762,Utah Jazz,2,1,38,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-167,209,1,0,20241201,UTA,LAL,22400311314,13420,0,1628374|1628381|1631117|1641718|1641729,0,REG,2025,1641720,SG,Point of Attack,-0.5090627560608302,SF,Movement Shooter,-0.4997439156048449
Shot Chart Detail,22400311,331,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,9,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,74,65,1,0,20241201,UTA,LAL,22400311331,14310,0,1628374|1628381|1631117|1641718|1641729,0,REG,2025,1641720,SG,Point of Attack,-0.5090627560608302,PF,Off Screen Shooter,1.0952874762972544
Shot Chart Detail,22400311,479,1628381,John Collins,1610612762,Utah Jazz,3,1,53,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,12,58,1,1,20241201,UTA,LAL,22400311479,20470,0,1628374|1628381|1630548|1630695|1642268,1,REG,2025,1641720,SG,Point of Attack,-0.5090627560608302,PF,Athletic Finisher,-0.1789172697610734
Shot Chart Detail,22400311,482,1630548,Johnny Juzang,1610612762,Utah Jazz,3,1,10,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-121,137,1,1,20241201,UTA,LAL,22400311482,20900,0,1628374|1628381|1630548|1630695|1642268,1,REG,2025,1641720,SG,Point of Attack,-0.5090627560608302,SG,Off Screen Shooter,-0.6096583964384211
Shot Chart Detail,22400311,490,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,0,9,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-81,79,1,0,20241201,UTA,LAL,22400311490,21510,0,1628374|1628381|1630548|1630695|1642268,0,REG,2025,1641720|1631108,,,,PF,Off Screen Shooter,1.0952874762972544
Shot Chart Detail,22400959,567,1630167,Obi Toppin,1610612754,Indiana Pacers,4,7,5,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,23,1,1,20250314,PHI,IND,22400959567,24550,0,204456|1627783|1629614|1630167|1630174,1,REG,2025,1641720,SG,Point of Attack,-0.5090627560608302,PF,Movement Shooter,0.7243608514761108
Shot Chart Detail,22400959,577,204456,T.J. McConnell,1610612754,Indiana Pacers,4,6,2,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,20,1,1,20250314,PHI,IND,22400959577,25180,0,204456|1627783|1630167|1630174|1641767,1,REG,2025,1641720,SG,Point of Attack,-0.5090627560608302,PG,Slasher,0.4483793458096248
