GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,season_type,year,assisted,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID,opp_team,OPP_ID,EVENTNUM
Shot Chart Detail,22500088,7,1642345,Oso Ighodaro,1610612756,Phoenix Suns,1,11,43,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,26,1,1,20251022,PHX,SAC,225000887,170,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,1642363,2.0,SG,Point of Attack,0.0775886842467022,Ighodaro 3' Cutting Dunk Shot (2 PTS) (Allen 1 AST),PF,Roll + Cut Big,-1.96380895831766,1628960.0,SAC,1610612758.0,7
Shot Chart Detail,22500088,11,1626164,Devin Booker,1610612756,Phoenix Suns,1,11,17,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-93,251,1,0,20251022,PHX,SAC,2250008811,430,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,203897,0.0,SG,Chaser,-1.63206716174403,MISS Booker 27' 3PT Pullup Jump Shot,SG,Shot Creator,2.0269513301503737,,SAC,1610612758.0,11
Shot Chart Detail,22500088,13,1642346,Ryan Dunn,1610612756,Phoenix Suns,1,11,8,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-12,73,1,0,20251022,PHX,SAC,2250008813,520,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,201942,0.0,PF,Helper,-1.2950000467225236,MISS Dunn 7' Driving Floating Jump Shot,SF,Stationary Shooter,-1.1360083026753365,,SAC,1610612758.0,13
Shot Chart Detail,22500088,21,1642346,Ryan Dunn,1610612756,Phoenix Suns,1,11,6,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20251022,PHX,SAC,2250008821,540,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,201942,2.0,PF,Helper,-1.2950000467225236,Dunn Tip Layup Shot (2 PTS),SF,Stationary Shooter,-1.1360083026753365,,SAC,1610612758.0,21
Shot Chart Detail,22500088,24,1628415,Dillon Brooks,1610612756,Phoenix Suns,1,10,51,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-6,1,1,20251022,PHX,SAC,2250008824,690,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,201942,4.0,PF,Helper,-1.2950000467225236,Brooks 1' Running Layup (2 PTS),SF,Shot Creator,-0.04431431575336,,SAC,1610612758.0,24
Shot Chart Detail,22500088,27,1628960,Grayson Allen,1610612756,Phoenix Suns,1,10,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-189,206,1,0,20251022,PHX,SAC,2250008827,970,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,203897,4.0,SG,Chaser,-1.63206716174403,MISS Allen 28' 3PT Jump Shot,SG,Primary Ball Handler,1.8319261287995148,,SAC,1610612758.0,27
Shot Chart Detail,22500088,34,1628415,Dillon Brooks,1610612756,Phoenix Suns,1,10,3,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,5,48,1,0,20251022,PHX,SAC,2250008834,1170,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,1629234,2.0,C,Mobile Big,1.1794758741714897,MISS Brooks 5' Driving Layup,SF,Shot Creator,-0.04431431575336,,SAC,1610612758.0,34
Shot Chart Detail,22500088,38,1642346,Ryan Dunn,1610612756,Phoenix Suns,1,9,51,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,22,1,1,20251022,PHX,SAC,2250008838,1290,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,1642363|203471,4.0,,,,,SF,Stationary Shooter,-1.1360083026753365,1628415.0,SAC,1610612758.0,38
Shot Chart Detail,22500088,46,1626164,Devin Booker,1610612756,Phoenix Suns,1,8,48,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,29,1,1,20251022,PHX,SAC,2250008846,1920,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,203897,4.0,SG,Chaser,-1.63206716174403,Booker 4' Driving Layup (2 PTS),SG,Shot Creator,2.0269513301503737,,SAC,1610612758.0,46
Shot Chart Detail,22500088,49,1628415,Dillon Brooks,1610612756,Phoenix Suns,1,8,26,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-118,238,1,0,20251022,PHX,SAC,2250008849,2140,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,1629234,4.0,C,Mobile Big,1.1794758741714897,MISS Brooks 27' 3PT Pullup Jump Shot,SF,Shot Creator,-0.04431431575336,,SAC,1610612758.0,49
Shot Chart Detail,22500088,51,1628415,Dillon Brooks,1610612756,Phoenix Suns,1,8,13,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,58,184,1,0,20251022,PHX,SAC,2250008851,2270,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,1629234,4.0,C,Mobile Big,1.1794758741714897,MISS Brooks 19' Pullup Jump Shot,SF,Shot Creator,-0.04431431575336,,SAC,1610612758.0,51
Shot Chart Detail,22500088,68,1626164,Devin Booker,1610612756,Phoenix Suns,1,7,30,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-17,54,1,0,20251022,PHX,SAC,2250008868,2700,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,1642363|201942,1.0,,,,,SG,Shot Creator,2.0269513301503737,,SAC,1610612758.0,68
Shot Chart Detail,22500088,74,1626164,Devin Booker,1610612756,Phoenix Suns,1,7,16,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,31,1,0,20251022,PHX,SAC,2250008874,2840,0,1626164|1628415|1628960|1642345|1642346,REG,2026,,1642363,1.0,SG,Point of Attack,0.0775886842467022,MISS Booker 5' Running Layup,SG,Shot Creator,2.0269513301503737,,SAC,1610612758.0,74
