GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,assisted,PLAYERS_ON,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,opp_team,OPP_ID
Shot Chart Detail,22500002,7,1629029,Luka Dončić,1610612744,Los Angeles Lakers,1,11,39,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-60,125,1,1,20251021,LAL,GSW,225000027,210,0,0,201939|202710|203110|1630228|1641764,REG,2026,1630228,PF,NA_INDEX,,Doncic 14' Fadeaway Jumper (2 PTS),PG,NA_INDEX,,LAL,1610612747.0
Shot Chart Detail,22500002,14,1630559,Austin Reaves,1610612744,Los Angeles Lakers,1,10,39,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-13,32,1,1,20251021,LAL,GSW,2250000214,810,0,0,201939|202710|203110|1630228|1641764,REG,2026,1641764,SG,NA_INDEX,,Reaves 3' Driving Finger Roll Layup (2 PTS),SG,NA_INDEX,,LAL,1610612747.0
Shot Chart Detail,22500002,18,1629029,Luka Dončić,1610612744,Los Angeles Lakers,1,10,18,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,18,259,1,0,20251021,LAL,GSW,2250000218,1020,0,0,201939|202710|203110|1630228|1641764,REG,2026,1630228,PF,NA_INDEX,,MISS Doncic 26' 3PT Step Back Jump Shot,PG,NA_INDEX,,LAL,1610612747.0
Shot Chart Detail,22500002,33,1629029,Luka Dončić,1610612744,Los Angeles Lakers,1,9,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-88,248,1,1,20251021,LAL,GSW,2250000233,1730,0,1,201939|202710|203110|1630228|1641764,REG,2026,1630228,PF,NA_INDEX,,Doncic 26' 3PT Jump Shot (5 PTS) (Reaves 1 AST),PG,NA_INDEX,,LAL,1610612747.0
Shot Chart Detail,22500002,37,1629028,Deandre Ayton,1610612744,Los Angeles Lakers,1,8,36,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-15,52,1,1,20251021,LAL,GSW,2250000237,2040,0,1,201939|202710|203110|1630228|1641764,REG,2026,203110,PF,NA_INDEX,,Ayton 5' Turnaround Hook Shot (2 PTS) (Doncic 1 AST),C,NA_INDEX,,LAL,1610612747.0
Shot Chart Detail,22500002,46,1629028,Deandre Ayton,1610612744,Los Angeles Lakers,1,7,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,28,1,1,20251021,LAL,GSW,2250000246,2450,0,1,201939|202710|203110|1630228|1641764,REG,2026,203110|202710,,,,,C,NA_INDEX,,LAL,1610612747.0
Shot Chart Detail,22500002,50,1629029,Luka Dončić,1610612744,Los Angeles Lakers,1,7,36,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-167,217,1,0,20251021,LAL,GSW,2250000250,2640,0,0,201939|202710|203110|1630228|1641764,REG,2026,202710,SF,NA_INDEX,,MISS Doncic 27' 3PT Step Back Jump Shot,PG,NA_INDEX,,LAL,1610612747.0
Shot Chart Detail,22500002,63,203935,Marcus Smart,1610612744,Los Angeles Lakers,1,6,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-188,193,1,0,20251021,LAL,GSW,2250000263,3320,0,0,201939|203110|1627741|1627780|1630228,REG,2026,1630228,PF,NA_INDEX,,MISS Smart 27' 3PT Jump Shot,PG,NA_INDEX,,LAL,1610612747.0
Shot Chart Detail,22500002,67,1630559,Austin Reaves,1610612744,Los Angeles Lakers,1,6,12,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,7,1,0,20251021,LAL,GSW,2250000267,3480,0,0,201939|203110|1627741|1627780|1630228,REG,2026,203110,PF,NA_INDEX,,MISS Reaves 3' Running Layup,SG,NA_INDEX,,LAL,1610612747.0
Shot Chart Detail,22500002,74,1630559,Austin Reaves,1610612744,Los Angeles Lakers,1,5,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-38,267,1,0,20251021,LAL,GSW,2250000274,3740,0,0,201939|203110|1627741|1627780|1630228,REG,2026,1627780,SG,NA_INDEX,,MISS Reaves 27' 3PT Jump Shot,SG,NA_INDEX,,LAL,1610612747.0
