GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,opp_team,OPP_ID
Shot Chart Detail,21700013,7,1626161,Willie Cauley-Stein,1610612758,Sacramento Kings,1,11,38,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-52,10,1,0,20171018,SAC,HOU,217000137,220,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,2772,0.0,SF,Wing Stopper,0.4,MISS Cauley-Stein 5' Floating Jump Shot,C,Shot Creator,-1.0,HOU,1610612745.0
Shot Chart Detail,21700013,12,1628382,Justin Jackson,1610612758,Sacramento Kings,1,11,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,179,174,1,0,20171018,SAC,HOU,2170001312,470,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,201935,0.0,SG,Chaser,0.01,MISS Jackson 25' 3PT Jump Shot,SF,Low Minute,-1.89,HOU,1610612745.0
Shot Chart Detail,21700013,16,1626161,Willie Cauley-Stein,1610612758,Sacramento Kings,1,10,48,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,115,89,1,0,20171018,SAC,HOU,2170001316,720,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,203991,0.0,C,Mobile Big,1.91,MISS Cauley-Stein 15' Fadeaway Jumper,C,Shot Creator,-1.0,HOU,1610612745.0
Shot Chart Detail,21700013,20,201588,George Hill,1610612758,Sacramento Kings,1,10,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,215,134,1,1,20171018,SAC,HOU,2170001320,1010,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,201569,1.0,SG,Point of Attack,-1.57,G. Hill 25' 3PT Jump Shot (3 PTS),PG,Primary Ball Handler,-0.03,HOU,1610612745.0
Shot Chart Detail,21700013,30,1627741,Buddy Hield,1610612758,Sacramento Kings,1,9,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,152,114,1,0,20171018,SAC,HOU,2170001330,1530,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,203991,1.0,C,Mobile Big,1.91,MISS Hield 19' Jump Shot,SG,Secondary Ball Handler,-0.69,HOU,1610612745.0
Shot Chart Detail,21700013,32,1626161,Willie Cauley-Stein,1610612758,Sacramento Kings,1,9,19,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20171018,SAC,HOU,2170001332,1610,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,201583,3.0,PF,Helper,-0.81,Cauley-Stein 1' Tip Layup Shot (2 PTS),C,Shot Creator,-1.0,HOU,1610612745.0
Shot Chart Detail,21700013,39,1627741,Buddy Hield,1610612758,Sacramento Kings,1,8,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,24,1,0,20171018,SAC,HOU,2170001339,2020,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,201935,0.0,SG,Chaser,0.01,MISS Hield 3' Driving Layup,SG,Secondary Ball Handler,-0.69,HOU,1610612745.0
Shot Chart Detail,21700013,42,1627741,Buddy Hield,1610612758,Sacramento Kings,1,8,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,9,1,0,20171018,SAC,HOU,2170001342,2070,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,203991,0.0,C,Mobile Big,1.91,MISS Hield 3PT Jump Shot,SG,Secondary Ball Handler,-0.69,HOU,1610612745.0
Shot Chart Detail,21700013,44,1626161,Willie Cauley-Stein,1610612758,Sacramento Kings,1,8,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,1,20171018,SAC,HOU,2170001344,2100,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,201935|2772,2.0,,,,,C,Shot Creator,-1.0,HOU,1610612745.0
Shot Chart Detail,21700013,47,1627746,Skal Labissiere,1610612758,Sacramento Kings,1,7,47,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,58,1,0,20171018,SAC,HOU,2170001347,2530,0,201588|1626161|1627741|1627746|1628382,0,REG,2018,201583,-1.0,PF,Helper,-0.81,MISS Labissiere 6' Hook Shot,PF,Post Scorer,-2.01,HOU,1610612745.0
