GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,opp_team,OPP_ID
Shot Chart Detail,42200171,9,201142,Kevin Durant,1610612756,Phoenix Suns,1,11,21,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,221,-4,1,0,20230416,PHX,LAC,422001719,390,0,101108|201142|1626164|1628470|1629028,0,PS,2023,201587,0.0,PF,Helper,0.61,MISS Durant 3PT Jump Shot,PF,Shot Creator,2.85,LAC,1610612746.0
Shot Chart Detail,42200171,15,1628470,Torrey Craig,1610612756,Phoenix Suns,1,10,55,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-17,1,0,20230416,PHX,LAC,4220017115,650,0,101108|201142|1626164|1628470|1629028,0,PS,2023,1627826,0.0,C,Anchor Big,2.06,MISS Craig 24' 3PT Jump Shot,PF,Athletic Finisher,-1.51,LAC,1610612746.0
Shot Chart Detail,42200171,19,1626164,Devin Booker,1610612756,Phoenix Suns,1,10,35,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-125,213,1,0,20230416,PHX,LAC,4220017119,850,0,101108|201142|1626164|1628470|1629028,0,PS,2023,201566,0.0,PG,Helper,-0.8,MISS Booker 25' 3PT Running Pull-Up Jump Shot,SG,Shot Creator,3.55,LAC,1610612746.0
Shot Chart Detail,42200171,22,1629028,Deandre Ayton,1610612756,Phoenix Suns,1,10,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,15,36,1,1,20230416,PHX,LAC,4220017122,1200,0,101108|201142|1626164|1628470|1629028,1,PS,2023,201566,0.0,PG,Helper,-0.8,Ayton 4' Dunk (2 PTS) (Paul 1 AST),C,Post Scorer,-0.5,LAC,1610612746.0
Shot Chart Detail,42200171,30,101108,Chris Paul,1610612756,Phoenix Suns,1,9,26,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,118,108,1,0,20230416,PHX,LAC,4220017130,1540,0,101108|201142|1626164|1628470|1629028,0,PS,2023,1627826,-1.0,C,Anchor Big,2.06,MISS Paul 16' Fadeaway Jumper,PG,Primary Ball Handler,2.12,LAC,1610612746.0
Shot Chart Detail,42200171,34,1629028,Deandre Ayton,1610612756,Phoenix Suns,1,9,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,20,156,1,0,20230416,PHX,LAC,4220017134,1710,0,101108|201142|1626164|1628470|1629028,0,PS,2023,1627826,-1.0,C,Anchor Big,2.06,MISS Ayton 16' Jump Shot,C,Post Scorer,-0.5,LAC,1610612746.0
Shot Chart Detail,42200171,37,101108,Chris Paul,1610612756,Phoenix Suns,1,8,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,13,302,1,1,20230416,PHX,LAC,4220017137,2060,0,101108|201142|1626164|1628470|1629028,1,PS,2023,202695,0.0,SF,Helper,0.49,Paul 30' 3PT Jump Shot (3 PTS) (Craig 1 AST),PG,Primary Ball Handler,2.12,LAC,1610612746.0
Shot Chart Detail,42200171,41,1626164,Devin Booker,1610612756,Phoenix Suns,1,8,6,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,24,1,1,20230416,PHX,LAC,4220017141,2340,0,101108|201142|1626164|1628470|1629028,1,PS,2023,201569,2.0,SG,Wing Stopper,-0.76,Booker 3' Running Reverse Layup (2 PTS) (Durant 1 AST),SG,Shot Creator,3.55,LAC,1610612746.0
Shot Chart Detail,42200171,53,1626164,Devin Booker,1610612756,Phoenix Suns,1,6,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,103,141,1,1,20230416,PHX,LAC,4220017153,3010,0,101108|201142|1626164|1628470|1629028,0,PS,2023,201566,2.0,PG,Helper,-0.8,Booker 17' Pullup Jump Shot (4 PTS),SG,Shot Creator,3.55,LAC,1610612746.0
Shot Chart Detail,42200171,55,1626164,Devin Booker,1610612756,Phoenix Suns,1,6,33,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,45,1,0,20230416,PHX,LAC,4220017155,3270,0,101108|201142|1626164|1628470|1629028,0,PS,2023,1627826,0.0,C,Anchor Big,2.06,MISS Booker 17' Pullup Jump Shot,SG,Shot Creator,3.55,LAC,1610612746.0
