GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,assisted,PLAYERS_ON,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,opp_team,OPP_ID,ASSIST_ID
Shot Chart Detail,42000121,15,201950,Jrue Holiday,1610612748,Milwaukee Bucks,1,11,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-210,138,1,0,20210522,MIL,MIA,4200012115,520,0,0,2772|202710|1628389|1629130|1629134,PS,2021,1629134,-3.0,PG,Point of Attack,-0.32,MISS Holiday 25' 3PT Jump Shot,PG,Shot Creator,1.94,MIL,1610612749.0,
Shot Chart Detail,42000121,19,203114,Khris Middleton,1610612748,Milwaukee Bucks,1,10,42,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,5,1,1,20210522,MIL,MIA,4200012119,780,0,0,2772|202710|1628389|1629130|1629134,PS,2021,2772,-4.0,SF,Wing Stopper,1.21,Middleton 1' Driving Finger Roll Layup (2 PTS),SF,Shot Creator,1.51,MIL,1610612749.0,
Shot Chart Detail,42000121,22,203507,Giannis Antetokounmpo,1610612748,Milwaukee Bucks,1,10,24,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,5,101,1,0,20210522,MIL,MIA,4200012122,960,0,0,2772|202710|1628389|1629130|1629134,PS,2021,2772|202710,-4.0,,,,,PF,Shot Creator,4.1,MIL,1610612749.0,
Shot Chart Detail,42000121,27,203507,Giannis Antetokounmpo,1610612748,Milwaukee Bucks,1,10,3,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,38,1,0,20210522,MIL,MIA,4200012127,1170,0,0,2772|202710|1628389|1629130|1629134,PS,2021,202710,-4.0,SF,Helper,1.6,MISS Antetokounmpo 5' Reverse Layup,PF,Shot Creator,4.1,MIL,1610612749.0,
Shot Chart Detail,42000121,39,203507,Giannis Antetokounmpo,1610612748,Milwaukee Bucks,1,9,8,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,1,20210522,MIL,MIA,4200012139,1720,0,1,2772|202710|1628389|1629130|1629134,PS,2021,,,,,,,PF,Shot Creator,4.1,MIL,1610612749.0,1628978.0
Shot Chart Detail,42000121,47,203507,Giannis Antetokounmpo,1610612748,Milwaukee Bucks,1,8,43,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,24,1,1,20210522,MIL,MIA,4200012147,1970,0,0,2772|202710|1628389|1629130|1629134,PS,2021,2772,-3.0,SF,Wing Stopper,1.21,Antetokounmpo 2' Driving Dunk (4 PTS),PF,Shot Creator,4.1,MIL,1610612749.0,
Shot Chart Detail,42000121,49,203507,Giannis Antetokounmpo,1610612748,Milwaukee Bucks,1,8,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-130,237,1,0,20210522,MIL,MIA,4200012149,2220,0,0,2772|202710|1628389|1629130|1629134,PS,2021,1628389,-5.0,C,Mobile Big,1.9,MISS Antetokounmpo 27' 3PT Jump Shot,PF,Shot Creator,4.1,MIL,1610612749.0,
Shot Chart Detail,42000121,67,201572,Brook Lopez,1610612748,Milwaukee Bucks,1,7,11,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,17,40,1,0,20210522,MIL,MIA,4200012167,2890,0,0,2772|202710|1628389|1629130|1629134,PS,2021,1628389,-5.0,C,Mobile Big,1.9,MISS Lopez 4' Reverse Layup,C,Stretch Big,0.27,MIL,1610612749.0,
Shot Chart Detail,42000121,70,203114,Khris Middleton,1610612748,Milwaukee Bucks,1,7,7,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,165,88,1,0,20210522,MIL,MIA,4200012170,2930,0,0,2772|202710|1628389|1629130|1629134,PS,2021,1629134,-5.0,PG,Point of Attack,-0.32,MISS Middleton 19' Fadeaway Jumper,SF,Shot Creator,1.51,MIL,1610612749.0,
Shot Chart Detail,42000121,75,1627854,Bryn Forbes,1610612748,Milwaukee Bucks,1,6,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,187,201,1,0,20210522,MIL,MIA,4200012175,3190,0,0,2772|202710|1628389|1629130|1629134,PS,2021,202710,-5.0,SF,Helper,1.6,MISS Forbes 27' 3PT Jump Shot,SG,Off Screen Shooter,-0.08,MIL,1610612749.0,
